L            	HA	LA	CO	BA	FR	GM	BM
additional   	0,00000351855	0,00000000000	0,00000000000	0,00000524010	0,00000265367	0,00000224764	0,00000075937	
address      	0,00002351318	0,00000000000	0,00000000000	0,00000583628	0,00000000000	0,00000000000	0,00000000000	
adequate     	0,00000000000	0,00000000000	0,00000000000	0,00002009606	0,00001017698	0,00000000000	0,00000000000	
admirable    	0,00001240664	0,00000000000	0,00000000000	0,00000000000	0,00000467852	0,00000000000	0,00000535518	
admiration   	0,00002237437	0,00000000000	0,00003542801	0,00000833042	0,00017718379	0,00000000000	0,00000965764	
admire       	0,00000556979	0,00000000000	0,00001322897	0,00000207374	0,00004830816	0,00000000000	0,00000120207	
admit        	0,00000955402	0,00001920861	0,00000378201	0,00000177857	0,00000360280	0,00000305153	0,00000000000	
adolescent   	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00002946767	0,00000000000	0,00000421621	
adopt        	0,00000000000	0,00000000000	0,00000000000	0,00001133324	0,00001147868	0,00000000000	0,00000000000	
adorable     	0,00000000000	0,00000000000	0,00003018260	0,00009935843	0,00000479207	0,00000405884	0,00000000000	
adore        	0,00000719176	0,00000000000	0,00000569379	0,00000535527	0,00000000000	0,00000000000	0,00000155212	
adrenaline   	0,00001910804	0,00000000000	0,00001512802	0,00000000000	0,00000000000	0,00000610307	0,00000206194	
adult        	0,00000407334	0,00003275824	0,00000537484	0,00003336488	0,00000563218	0,00000997447	0,00000043955	
advance      	0,00000671231	0,00000000000	0,00000000000	0,00000499825	0,00001012479	0,00000000000	0,00000144865	
advantage    	0,00001826373	0,00000000000	0,00000963972	0,00000000000	0,00000918295	0,00000000000	0,00000262778	
adventure    	0,00000580260	0,00000000000	0,00000918795	0,00007777519	0,00000687703	0,00000847240	0,00000071561	
adventurous  	0,00000000000	0,00000000000	0,00000000000	0,00008475295	0,00003219022	0,00001817653	0,00000307050	
adversity    	0,00000000000	0,00000000000	0,00001233654	0,00001160308	0,00003525596	0,00000000000	0,00000336293	
advice       	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00004147760	0,00000000000	0,00000000000	
aesthetic    	0,00003313672	0,00000000000	0,00002623467	0,00000000000	0,00000000000	0,00000000000	0,00000357577	
affair       	0,00002423890	0,00000000000	0,00011514105	0,00000902462	0,00001828087	0,00000387093	0,00000261561	
affect       	0,00000690106	0,00001849968	0,00000546363	0,00000856466	0,00000693966	0,00000000000	0,00000148938	
affection    	0,00000000000	0,00000000000	0,00019579284	0,00001347455	0,00010917974	0,00000770618	0,00000260356	
aforementioned	0,00000000000	0,00000000000	0,00001219141	0,00001146657	0,00001161373	0,00000983671	0,00000664673	
afraid       	0,00001335613	0,00000000000	0,00002114836	0,00000497275	0,00000000000	0,00000000000	0,00000288251	
african      	0,00001123520	0,00000000000	0,00000000000	0,00000000000	0,00000423677	0,00000358850	0,00000242477	
afternoon    	0,00000000000	0,00000000000	0,00000000000	0,00000470850	0,00000000000	0,00000807846	0,00000000000	
age          	0,00000373039	0,00001125007	0,00000664512	0,00000798616	0,00000422016	0,00000387231	0,00000080509	
aged         	0,00000000000	0,00000000000	0,00002114836	0,00000994550	0,00000000000	0,00000000000	0,00000000000	
agenda       	0,00001896957	0,00000000000	0,00000000000	0,00001412549	0,00001430677	0,00001211769	0,00000409400	
agent        	0,00002138726	0,00000000000	0,00000338650	0,00001274064	0,00000322604	0,00000546484	0,00000000000	
aging        	0,00000000000	0,00000000000	0,00001501840	0,00000000000	0,00001430677	0,00000000000	0,00000409400	
agree        	0,00000000000	0,00001629461	0,00000641653	0,00000000000	0,00000152812	0,00000000000	0,00000043728	
aid          	0,00000823208	0,00000000000	0,00000651742	0,00001225986	0,00004966877	0,00000000000	0,00000710656	
aim          	0,00000000000	0,00000000000	0,00000000000	0,00002302344	0,00000777297	0,00000000000	0,00000222430	
air          	0,00000314640	0,00000000000	0,00000498206	0,00000468586	0,00000474599	0,00000000000	0,00000339526	
airplane     	0,00000000000	0,00000000000	0,00000968476	0,00000000000	0,00000922586	0,00000781421	0,00000528011	
alien        	0,00000426352	0,00001714384	0,00000253160	0,00000555587	0,00000482329	0,00000068088	0,00000207034	
alive        	0,00001048518	0,00000000000	0,00000415061	0,00001171152	0,00000263596	0,00000558158	0,00000188575	
all          	0,00000000000	0,00000000000	0,00000000000	0,00000612993	0,00000620860	0,00000000000	0,00000177664	
allegory     	0,00011899096	0,00000000000	0,00000000000	0,00001265791	0,00000000000	0,00000000000	0,00000366865	
allow        	0,00001881173	0,00003184967	0,00001332570	0,00000737261	0,00000896067	0,00000252987	0,00000170945	
ally         	0,00003907166	0,00000000000	0,00000000000	0,00000000000	0,00002946767	0,00000000000	0,00000000000	
alot         	0,00001735942	0,00000000000	0,00000000000	0,00000517060	0,00000261848	0,00000665348	0,00000074930	
alter        	0,00000902690	0,00000000000	0,00000000000	0,00001344357	0,00000000000	0,00000000000	0,00000389636	
amaze        	0,00001673786	0,00002692152	0,00000265031	0,00000747820	0,00000252472	0,00000000000	0,00000000000	
amazing      	0,00000624691	0,00000418652	0,00000206072	0,00000335956	0,00000130872	0,00000155186	0,00000071155	
amazon       	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000467106	0,00000000000	
ambiguity    	0,00038049434	0,00000000000	0,00000000000	0,00000000000	0,00001147868	0,00000972233	0,00000985416	
ambiguous    	0,00007587829	0,00000000000	0,00001501840	0,00000000000	0,00000000000	0,00000000000	0,00000000000	
ambition     	0,00001745201	0,00000000000	0,00000690846	0,00000000000	0,00001974334	0,00000000000	0,00000376648	
ambitious    	0,00000000000	0,00000000000	0,00000400104	0,00000376316	0,00000381145	0,00000322826	0,00000327204	
american     	0,00000586387	0,00000336842	0,00000331606	0,00000343080	0,00000442251	0,00000294314	0,00000307345	
amount       	0,00001062912	0,00001221150	0,00000240434	0,00000226139	0,00000458082	0,00000387991	0,00000098313	
amusing      	0,00000562968	0,00002263724	0,00000222854	0,00000628812	0,00001061470	0,00000539433	0,00000000000	
analysis     	0,00004006838	0,00000000000	0,00000000000	0,00000000000	0,00000000000	0,00000853184	0,00000000000	
analyze      	0,00001983183	0,00000000000	0,00000000000	0,00000000000	0,00002991415	0,00000000000	0,00000428009	
ancient      	0,00001006847	0,00000000000	0,00000797130	0,00001874344	0,00001139039	0,00000321585	0,00000325945	
anger        	0,00001072869	0,00000000000	0,00005945808	0,00000000000	0,00000809153	0,00000000000	0,00006483282	
angle        	0,00001252536	0,00000000000	0,00000743734	0,00000466344	0,00000708493	0,00000200029	0,00000000000	
angry        	0,00000000000	0,00000000000	0,00000000000	0,00001071054	0,00001084799	0,00000000000	0,00002172968	
angst        	0,00000000000	0,00000000000	0,00002590674	0,00000609162	0,00000616979	0,00000000000	0,00000176554	
animal       	0,00000948479	0,00000000000	0,00001126380	0,00000706275	0,00001073007	0,00000000000	0,00000614100	
animated     	0,00000000000	0,00000000000	0,00000347159	0,00008652750	0,00000082677	0,00000350134	0,00000023659	
animation    	0,00000824245	0,00001325732	0,00000195769	0,00009206475	0,00000497313	0,00000789786	0,00000017789	
animator     	0,00001558215	0,00000000000	0,00000000000	0,00010442774	0,00000000000	0,00000000000	0,00000336293	
anime        	0,00000000000	0,00000000000	0,00000000000	0,00000594304	0,00000000000	0,00000509830	0,00000000000	
annoying     	0,00000000000	0,00000000000	0,00002093474	0,00000000000	0,00000997138	0,00000000000	0,00000285339	
answer       	0,00003385088	0,00000000000	0,00001072003	0,00000336089	0,00000340402	0,00000000000	0,00000097409	
anti         	0,00000000000	0,00000000000	0,00000000000	0,00000338423	0,00000342766	0,00000000000	0,00000098085	
antic        	0,00000984136	0,00000000000	0,00000779150	0,00000732826	0,00001484461	0,00003143310	0,00000000000	
