FILM	HA	LA	CO	BA	FR	GM	BM
158   	950	603	313	1198	744	463	415	
159   	2096	1229	845	618	3624	961	3311	
160   	699	460	520	539	520	274	298	
161   	1533	880	1336	1947	1684	1900	1684	
162   	1004	841	745	863	661	1522	930	
163   	81	226	304	45	148	236	67	
164   	152	709	532	259	532	532	326	
165   	2233	860	2237	385	1569	699	2425	
166   	1985	1577	2526	2289	1430	1561	896	
167   	3278	584	33	958	763	1133	1075	
168   	46	221	108	357	601	275	395	
169   	391	132	135	337	171	78	22	
170   	17	58	4	16	4	149	159	
171   	883	360	822	1984	822	898	844	
172   	1556	1639	1426	457	68	1336	9	
173   	277	302	111	129	167	144	312	
174   	411	375	106	368	370	60	42	
175   	152	222	148	193	147	140	6	
176   	327	117	964	772	769	1027	884	
177   	456	258	425	14	229	289	187	
178   	173	84	398	425	81	137	199	
179   	409	181	654	264	376	375	522	
180   	729	1147	989	546	524	1268	509	
181   	624	752	916	756	916	925	561	
182   	612	369	89	298	354	58	775	
183   	1442	131	884	1139	933	1778	1743	
184   	354	278	152	183	374	342	172	
185   	1047	1581	1207	609	1207	1678	1947	
186   	491	1430	649	850	461	1281	899	
187   	283	403	302	226	574	110	592	
188   	1320	796	171	257	1568	628	2195	
189   	1458	534	518	1531	421	915	963	
190   	1134	1094	802	142	775	561	770	
191   	147	182	55	174	35	137	185	
192   	321	408	230	523	664	997	1085	
193   	559	2085	4664	4727	4773	23	330	
194   	495	2009	746	689	1451	2170	417	
195   	826	552	501	1706	1302	1695	922	
196   	1166	3218	1929	741	2515	2626	1557	
197   	105	105	76	894	651	736	196	
198   	1025	567	1103	169	248	1110	1030	
199   	2611	2263	663	3092	2573	2751	2079	
200   	809	655	239	310	64	409	125	
201   	77	96	130	417	105	24	265	
202   	674	222	256	257	372	368	134	
203   	416	1166	209	975	209	696	35	
204   	42	136	110	83	6	136	55	
205   	975	778	794	687	1790	1859	753	
206   	128	652	775	539	1307	1397	1641	
207   	330	398	67	600	600	572	330	
208   	147	921	835	341	969	318	521	
209   	93	50	50	100	100	104	151	
210   	978	456	262	815	193	526	898	
211   	93	188	59	144	11	8	149	
212   	88	274	1324	946	1138	243	1315	
213   	772	193	2000	1204	680	604	473	
214   	1159	100	899	864	1064	884	59	
215   	302	445	451	257	168	369	375	
216   	1203	1337	1819	1274	652	2349	348	
217   	4730	4029	998	872	998	1126	921	
218   	802	46	535	211	204	618	781	
219   	1705	1759	162	1118	540	1293	435	
220   	847	640	628	442	223	683	92	
221   	1032	1716	606	721	774	108	1341	
222   	183	729	272	741	705	804	717	
223   	1696	1873	595	1661	595	496	1872	
224   	206	96	160	215	160	130	191	
225   	559	898	294	608	339	2	235	
226   	405	394	531	44	70	152	253	
227   	389	371	150	4	32	178	43	
228   	4124	2376	1024	2017	2017	1277	4079	
229   	2306	1669	1419	880	950	1735	523	
230   	23	60	62	142	6	65	4	
231   	909	2612	1948	1000	2023	2630	552	
232   	338	525	190	225	167	291	435	
233   	40	54	40	61	45	17	77	
234   	32	132	101	2	80	43	75	
235   	46	54	74	20	78	54	46	
236   	640	940	1368	1271	802	2125	2031	
237   	485	421	522	456	313	522	164	
238   	366	399	400	314	78	55	78	
239   	978	96	120	291	884	818	369	
240   	13	74	64	89	54	91	22	
241   	94	229	347	404	259	288	264	
242   	88	335	308	359	263	127	364	
243   	293	58	102	133	261	102	102	
244   	201	554	376	519	521	602	81	
245   	746	849	1704	1472	615	1310	859	
246   	661	352	1090	3458	219	84	563	
247   	181	234	162	111	162	149	497	
248   	65	121	146	39	451	402	56	
249   	20	72	47	46	119	3	46	
250   	534	220	497	560	497	288	13	
251   	188	353	137	279	279	73	187	
252   	152	67	70	146	70	67	205	
253   	349	151	349	298	61	710	109	
254   	258	387	198	53	198	328	198	
255   	319	348	271	258	184	76	179	
256   	118	71	13	11	112	134	117	
257   	272	38	284	130	295	297	295	
258   	127	172	55	78	184	93	237	
259   	406	375	119	134	94	194	384	
260   	58	73	40	80	57	80	12	
261   	2429	2613	714	197	2746	2920	1524	
262   	1330	701	600	458	1715	600	38	
263   	161	211	120	237	198	28	234	
264   	583	475	586	167	586	29	420	
265   	230	965	1568	1465	1518	439	974	
266   	1295	497	4125	2928	3020	2450	340	
267   	75	1507	1475	227	265	414	1660	
268   	317	276	310	158	310	347	105	
269   	207	492	11	388	541	339	311	
270   	1809	1328	2288	382	843	2272	1178	
271   	393	60	164	1025	1330	1823	1415	
272   	951	851	369	965	764	1366	1345	
273   	664	1209	955	1019	955	226	855	
274   	121	412	568	372	492	1041	568	
275   	2056	1538	1794	370	2141	2792	1512	
276   	626	545	65	31	485	335	65	
277   	800	1279	1081	802	802	842	341	
278   	1239	608	1323	566	1319	858	1435	
279   	763	1638	2072	1526	1668	2355	995	
280   	1103	659	972	231	1135	447	520	
281   	1254	336	2544	1939	1536	45	2393	
282   	621	636	253	117	19	334	159	
283   	605	280	4	759	860	1064	761	
284   	1759	820	1156	2070	296	899	1367	
285   	577	121	300	514	30	361	638	
286   	75	2412	2659	2701	2659	2038	173	
287   	1192	323	1387	660	258	465	467	
288   	535	437	97	1616	1122	1642	1054	
