FILM         	HA	LA	CO	BA	FR	GM	BM
Shaun of the Dead	0,0815	0,1080	0,0837	0,0850	0,1211	0,2941	0,0792	
Scarface     	0,0357	0,0223	0,0392	0,0411	0,0402	0,0396	0,0458	
The Return   	0,1433	0,0673	0,1169	0,0976	0,0972	0,0723	0,0950	
Platoon      	0,1001	0,0438	0,0805	0,0708	0,0904	0,0652	0,2199	
Being John Malkovich	0,1238	0,0699	0,1022	0,0997	0,0949	0,1536	0,0681	
Underground  	0,0921	0,0457	0,0777	0,0905	0,0766	0,1149	0,0720	
The African Queen	0,0747	0,0602	0,1037	0,0963	0,0809	0,1062	0,0646	
Almost Famous	0,0919	0,0729	0,1308	0,1149	0,1165	0,1393	0,0733	
Magnolia     	0,1418	0,0700	0,1219	0,0887	0,1070	0,1053	0,0870	
Gandhi       	0,1239	0,0725	0,1063	0,0890	0,1358	0,0879	0,1126	
Goldfinger   	0,0741	0,0682	0,0860	0,0847	0,0787	0,0981	0,0713	
Batman Begins	0,1193	0,0777	0,0947	0,1193	0,1049	0,1218	0,1215	
Lost in Translation	0,1366	0,1050	0,1982	0,1106	0,1657	0,1678	0,0902	
Hotel Rwanda 	0,1130	0,0613	0,1200	0,0935	0,1210	0,0896	0,1548	
A Night at the Opera	0,0581	0,1007	0,0720	0,0750	0,0760	0,2185	0,0428	
Spartacus    	0,0958	0,0533	0,0923	0,0901	0,0902	0,0881	0,1055	
The Prestige 	0,1742	0,0755	0,0842	0,1139	0,0841	0,0976	0,0827	
The Shop Around the Corner	0,0815	0,0629	0,1495	0,1016	0,0918	0,1719	0,0499	
Who Framed Roger Rabbit	0,0875	0,0692	0,0749	0,1906	0,0912	0,1459	0,0554	
The Incredibles	0,0957	0,0834	0,0971	0,2333	0,1070	0,1747	0,0744	
Dazed and Confused	0,0747	0,0610	0,0721	0,0992	0,0817	0,1186	0,0477	
Blazing Saddles	0,0627	0,0919	0,0593	0,0794	0,1014	0,3037	0,0492	
Day for Night	0,0807	0,0514	0,0944	0,0644	0,0762	0,1044	0,0538	
The Green Mile	0,1104	0,0773	0,1158	0,1127	0,1093	0,1191	0,1056	
Dial M for Murder	0,1283	0,0656	0,0822	0,0803	0,0658	0,0896	0,0803	
Dirty Harry  	0,0922	0,0508	0,0660	0,0665	0,0713	0,0817	0,0999	
Iron Man     	0,0921	0,0918	0,0833	0,1258	0,0944	0,1595	0,0805	
Casino       	0,0881	0,0548	0,0772	0,0775	0,0776	0,0888	0,0790	
A Christmas Story	0,0638	0,0729	0,0924	0,1615	0,0968	0,1856	0,0546	
Serpico      	0,0850	0,0573	0,0755	0,0640	0,0836	0,0678	0,0934	
Barton Fink  	0,1162	0,0644	0,0735	0,0756	0,0833	0,1115	0,0695	
Mary Poppins 	0,0669	0,0713	0,0924	0,1957	0,0918	0,1676	0,0511	
The Sixth Sense	0,1453	0,0813	0,0993	0,0978	0,0958	0,0995	0,0940	
My Fair Lady 	0,0727	0,0513	0,1093	0,1152	0,0765	0,1663	0,0478	
Ed Wood      	0,0890	0,0617	0,1055	0,0910	0,1137	0,1427	0,0671	
The Sound of Music	0,0726	0,0640	0,1087	0,1465	0,0888	0,1591	0,0598	
Enter the Dragon	0,0710	0,0481	0,0691	0,0937	0,0637	0,0902	0,0865	
Rain Man     	0,0794	0,0568	0,0976	0,0822	0,0938	0,1084	0,0568	
The Birds    	0,1035	0,0590	0,0873	0,0936	0,0773	0,0936	0,0807	
Edward Scissorhands	0,0947	0,0650	0,1398	0,2025	0,1010	0,1503	0,0805	
Peeping Tom  	0,1099	0,0544	0,0848	0,0720	0,0769	0,0722	0,1042	
Eraserhead   	0,1191	0,0690	0,0894	0,0877	0,0826	0,0963	0,0781	
Gladiator    	0,1109	0,0759	0,1031	0,1089	0,1039	0,1011	0,1553	
Little Miss Sunshine	0,0919	0,0766	0,1210	0,1551	0,1215	0,2393	0,0746	
True Romance 	0,0772	0,0692	0,1085	0,0886	0,0720	0,1285	0,0842	
Brokeback Mountain	0,1346	0,0741	0,2314	0,1040	0,1436	0,1136	0,1103	
Shrek        	0,0981	0,0921	0,1069	0,3567	0,1228	0,2641	0,0615	
The Piano    	0,1000	0,0518	0,1784	0,0867	0,0961	0,0861	0,0811	
Doctor Zhivago	0,1010	0,0728	0,1439	0,1021	0,0918	0,0940	0,0895	
Malcolm X    	0,1027	0,0471	0,0876	0,0745	0,1001	0,0755	0,0911	
Donnie Darko 	0,1593	0,0777	0,0998	0,1092	0,1035	0,1229	0,0864	
Paper Moon   	0,0773	0,0620	0,1038	0,0994	0,0864	0,1481	0,0516	
Nine Queens  	0,1122	0,0444	0,0660	0,0657	0,0718	0,0987	0,0512	
Run Lola Run 	0,1187	0,0864	0,0946	0,0977	0,0841	0,1244	0,0745	
Quiz Show    	0,1061	0,0425	0,0763	0,0794	0,0782	0,0863	0,0641	
West Side Story	0,0730	0,0538	0,1013	0,1135	0,0792	0,1586	0,0696	
American Graffiti	0,0691	0,0665	0,0842	0,0973	0,0796	0,1212	0,0526	
Kung Fu Hustle	0,0814	0,0786	0,0713	0,1241	0,0905	0,2249	0,0869	
Porco Rosso  	0,0842	0,0697	0,0912	0,1528	0,0840	0,1264	0,0630	
Midnight Express	0,0773	0,0472	0,0751	0,0671	0,0857	0,0639	0,0916	
Midnight Run 	0,0720	0,0700	0,0798	0,0701	0,0944	0,2020	0,0488	
The Umbrellas of Cherbourg	0,0772	0,0621	0,1358	0,1234	0,0623	0,1352	0,0647	
Serenity     	0,1180	0,0900	0,0953	0,1066	0,1061	0,1511	0,0872	
Mystic River 	0,1333	0,0684	0,1142	0,0881	0,0974	0,0873	0,1145	
After Hours  	0,0744	0,0637	0,0705	0,0682	0,0772	0,1391	0,0593	
Apollo 13    	0,1061	0,0486	0,0841	0,1050	0,0903	0,0891	0,0943	
Dances with Wolves	0,1025	0,0768	0,0978	0,0927	0,1017	0,1137	0,0898	
From Here to Eternity	0,0722	0,0461	0,0903	0,0670	0,0684	0,0789	0,0895	
American Splendor	0,0924	0,0558	0,1166	0,0997	0,1068	0,1269	0,0626	
Easy Rider   	0,0917	0,0730	0,0846	0,0824	0,0851	0,0898	0,0748	
Animal House 	0,0541	0,0775	0,0602	0,0796	0,0856	0,2120	0,0463	
East of Eden 	0,0865	0,0396	0,0994	0,0889	0,0920	0,0682	0,0750	
Dead Man Walking	0,1062	0,0529	0,1157	0,0623	0,1020	0,0726	0,1243	
Kagemusha    	0,1031	0,0541	0,0727	0,0895	0,0799	0,0708	0,1016	
The Motorcycle Diaries	0,1127	0,0667	0,1207	0,1085	0,1272	0,1105	0,0823	
Leaving Las Vegas	0,0900	0,0477	0,1261	0,0735	0,1053	0,0905	0,0970	
Sideways     	0,1077	0,0892	0,1479	0,0947	0,1239	0,1883	0,0747	
The Thin Red Line	0,1483	0,0723	0,1193	0,0901	0,1026	0,0903	0,1814	
Tootsie      	0,0782	0,0610	0,1095	0,0802	0,1037	0,1768	0,0465	
From Russia with Love	0,0826	0,0658	0,0842	0,0842	0,0790	0,0896	0,0918	
Capote       	0,1429	0,0650	0,1147	0,0876	0,1255	0,0889	0,0979	
Kiss Kiss Bang Bang	0,1124	0,0891	0,0903	0,0844	0,0956	0,2335	0,0603	
The Color Purple	0,0889	0,0531	0,1303	0,0901	0,1034	0,0950	0,0871	
Misery       	0,0920	0,0571	0,0835	0,0785	0,0705	0,1094	0,0893	
Bullitt      	0,0914	0,0611	0,0715	0,0710	0,0633	0,0791	0,0736	
Walk the Line	0,0937	0,0555	0,1509	0,0960	0,1203	0,1126	0,0828	
Empire of the Sun	0,0961	0,0614	0,1034	0,1011	0,0983	0,0873	0,1116	
V for Vendetta	0,1436	0,0803	0,1018	0,1140	0,1089	0,1107	0,1161	
In America   	0,0976	0,0466	0,1727	0,1429	0,1339	0,1223	0,1235	
Forbidden Planet	0,1046	0,0657	0,0711	0,1235	0,0796	0,1049	0,0626	
The Hours    	0,1352	0,0661	0,1506	0,0900	0,1069	0,0980	0,0889	
Donnie Brasco	0,0874	0,0461	0,0749	0,0654	0,0919	0,0738	0,0759	
The City of Lost Children	0,1045	0,0797	0,0856	0,1567	0,0852	0,1060	0,0742	
Minority Report	0,1437	0,0785	0,0823	0,1022	0,0900	0,1057	0,0940	
Big Fish     	0,1051	0,0777	0,1387	0,2793	0,1206	0,1535	0,0794	
Spider-Man 2 	0,1067	0,0803	0,1060	0,1237	0,1032	0,1304	0,0954	
The Squid and the Whale	0,0903	0,0596	0,1287	0,0926	0,1026	0,1231	0,0795	
Five Easy Pieces	0,1080	0,0571	0,0968	0,0714	0,0855	0,0913	0,0724	
Forbidden Games	0,0875	0,0545	0,0925	0,0881	0,0866	0,0983	0,0820	
Cinderella Man	0,0986	0,0568	0,1269	0,1045	0,1162	0,1070	0,1221	
To Catch a Thief	0,0936	0,0790	0,1180	0,1037	0,0692	0,1485	0,0541	
Bad Education	0,1447	0,0606	0,1134	0,0881	0,0754	0,0787	0,0720	
Half Nelson  	0,1067	0,0512	0,1066	0,0881	0,1336	0,0823	0,0822	
Pierrot le Fou	0,0826	0,0725	0,0851	0,0926	0,0675	0,0893	0,0526	
A Man for All Seasons	0,1118	0,0532	0,0960	0,0798	0,1153	0,0815	0,0872	
Marty        	0,0808	0,0591	0,1535	0,0872	0,0974	0,1221	0,0633	
Walkabout    	0,1094	0,0598	0,1096	0,1001	0,0966	0,0881	0,0884	
Brick        	0,1338	0,0607	0,0724	0,0978	0,0806	0,0989	0,0789	
Billy Elliot 	0,0953	0,0604	0,1440	0,1284	0,1204	0,1599	0,0917	
Jackie Brown 	0,0979	0,0710	0,0842	0,0752	0,0801	0,1122	0,0759	
25th Hour    	0,1013	0,0674	0,0997	0,0735	0,1005	0,0809	0,0816	
Road to Perdition	0,1075	0,0779	0,1077	0,1110	0,0980	0,0932	0,1036	
High Plains Drifter	0,0899	0,0560	0,0677	0,0767	0,0658	0,0921	0,0880	
Fiddler on the Roof	0,0805	0,0609	0,1065	0,1217	0,0944	0,1681	0,0666	
Ray          	0,1001	0,0513	0,1269	0,0915	0,1167	0,1011	0,0864	
The Day of the Jackal	0,1196	0,0739	0,0614	0,0771	0,0666	0,0821	0,0769	
Cast Away    	0,1103	0,0691	0,1201	0,0958	0,1093	0,1043	0,1079	
The Crow     	0,0802	0,0764	0,1008	0,0988	0,0888	0,1079	0,1253	
As Good as It Gets	0,0931	0,0561	0,1305	0,0924	0,1163	0,1801	0,0634	
The Tenant   	0,1005	0,0564	0,0658	0,0574	0,0640	0,0725	0,0759	
Pi           	0,1497	0,0703	0,0839	0,0941	0,0889	0,0871	0,0865	
Titanic      	0,1077	0,0667	0,1374	0,1064	0,0988	0,1108	0,0908	
The Aviator  	0,1178	0,0575	0,1011	0,0907	0,0929	0,0983	0,0814	
Collateral   	0,1303	0,0790	0,0892	0,0801	0,0912	0,1088	0,0937	
Chicago      	0,0819	0,0672	0,0891	0,1175	0,0828	0,2025	0,0672	
Hoosiers     	0,0732	0,0407	0,0974	0,1019	0,0904	0,0878	0,0709	
Mulan        	0,0740	0,0613	0,0957	0,1951	0,1109	0,1567	0,0826	
Sin City     	0,1038	0,0887	0,0947	0,1327	0,0925	0,1275	0,1173	
Tombstone    	0,0844	0,0559	0,0714	0,0728	0,0786	0,1032	0,0677	
Videodrome   	0,1026	0,0494	0,0694	0,0773	0,0749	0,0758	0,0736	
Mildred Pierce	0,0873	0,0433	0,0909	0,0725	0,0847	0,0886	0,0672	
Inside Man   	0,1461	0,0702	0,0707	0,0723	0,0834	0,0983	0,0703	
Bloody Sunday	0,0799	0,0374	0,0730	0,0544	0,0743	0,0569	0,1204	
Predator     	0,0942	0,0687	0,0687	0,0968	0,0771	0,0958	0,0961	
Garden State 	0,1005	0,0769	0,1423	0,1073	0,1141	0,1634	0,0705	
In the Bedroom	0,1126	0,0697	0,1512	0,0820	0,1025	0,0788	0,1320	
21 Grams     	0,1382	0,0643	0,1228	0,0756	0,0936	0,0856	0,1097	
Drugstore Cowboy	0,0737	0,0370	0,0597	0,0632	0,0739	0,0819	0,0449	
Far from Heaven	0,1175	0,0611	0,1619	0,0998	0,1140	0,0988	0,0825	
Angels with Dirty Faces	0,0805	0,0383	0,0775	0,0705	0,0794	0,0816	0,0666	
Elizabeth    	0,1164	0,0590	0,1173	0,0982	0,0967	0,0983	0,0852	
Dark City    	0,1370	0,0708	0,0777	0,1011	0,0876	0,0895	0,0849	
Dumbo        	0,0674	0,0564	0,1030	0,1969	0,1113	0,1280	0,0657	
Gilda        	0,0777	0,0528	0,1366	0,0728	0,0781	0,0999	0,0605	
Batman       	0,0909	0,0803	0,0751	0,1070	0,0841	0,1231	0,0899	
King Kong    	0,1125	0,0866	0,1415	0,1460	0,1134	0,1335	0,1003	
Metropolis   	0,0960	0,0630	0,0815	0,1538	0,0724	0,0943	0,0630	
Independence Day	0,0800	0,0972	0,0718	0,1094	0,0895	0,1399	0,0765	
Wall Street  	0,0959	0,0447	0,0804	0,0784	0,0973	0,0839	0,0741	
Armageddon   	0,0895	0,1041	0,0925	0,0931	0,0914	0,1544	0,0739	
The Manchurian Candidate	0,1135	0,0651	0,0713	0,0790	0,0787	0,0827	0,0921	
The Ring     	0,1331	0,0833	0,0781	0,0986	0,0844	0,0902	0,1280	
Dead Birds   	0,0783	0,0544	0,0629	0,0667	0,0696	0,0642	0,0918	
The Producers	0,0628	0,0658	0,0674	0,0890	0,0751	0,2269	0,0470	
Sky High     	0,0617	0,0686	0,0742	0,1613	0,0914	0,1621	0,0574	
Heaven Can Wait	0,0629	0,0785	0,0939	0,0843	0,0763	0,1609	0,0469	
Spider-Man   	0,0943	0,0925	0,0965	0,1413	0,1006	0,1480	0,0884	
The Patriot  	0,1012	0,0763	0,1023	0,1059	0,1015	0,1093	0,1700	
Private Benjamin	0,0492	0,0464	0,0728	0,0852	0,0749	0,1539	0,0652	
The Little Mermaid	0,0627	0,0562	0,1107	0,2621	0,0828	0,1374	0,0520	
Gentlemen Prefer Blondes	0,0633	0,0508	0,1118	0,0959	0,0856	0,1892	0,0499	
Escape to Witch Mountain	0,0379	0,0319	0,0479	0,1658	0,0523	0,0890	0,0282	
