L            	HA	LA	CO	BA	FR	GM	BM
be express   	0,000	0,000	0,000	0,000	3,052	0,000	0,000	
be extraordinary	0,000	0,000	0,000	0,000	0,000	2,498	0,000	
be fabulous  	0,000	0,000	0,000	0,000	0,000	6,187	0,000	
be fairy     	0,000	0,000	0,000	5,572	0,000	0,000	0,000	
be faith     	0,000	0,000	0,000	0,000	8,875	0,000	0,000	
be faithful  	0,000	0,000	0,000	0,000	10,717	0,000	0,000	
be false     	0,000	0,000	0,000	0,000	0,000	0,000	8,674	
be family    	0,000	0,000	0,000	2,489	0,000	0,000	0,000	
be fantasy   	0,000	0,000	0,000	2,251	0,000	6,003	0,000	
be fascinating	0,000	0,000	8,873	0,000	0,000	2,218	0,000	
be fast      	0,000	2,709	0,000	0,000	0,000	0,000	0,000	
be fight     	0,000	0,000	0,000	0,000	0,000	0,000	7,967	
be focus     	8,286	0,000	0,000	0,000	0,000	0,000	0,000	
be forgive   	0,000	0,000	0,000	0,000	4,823	0,000	0,000	
be friend    	0,000	0,000	0,000	0,000	8,261	0,000	0,000	
be friendship	0,000	0,000	0,000	0,000	7,842	0,000	0,000	
be fun       	0,000	5,440	0,000	0,000	4,533	4,261	0,000	
be funny     	0,000	4,289	0,000	1,287	5,146	3,602	0,000	
be generous  	0,000	0,000	0,000	0,000	9,493	0,000	0,000	
be gentle    	0,000	6,808	0,000	0,000	0,000	0,000	0,000	
be girlfriend	0,000	0,000	3,494	0,000	0,000	0,000	0,000	
be grace     	0,000	0,000	0,000	0,000	0,000	5,634	0,000	
be graphic   	0,000	0,000	0,000	5,584	0,000	0,000	0,000	
be grateful  	0,000	0,000	0,000	0,000	0,000	8,905	0,000	
be grow      	0,000	0,000	0,000	6,843	0,000	0,000	0,000	
be guide     	0,000	0,000	0,000	0,000	5,170	0,000	0,000	
be guilty    	0,000	0,000	0,000	0,000	0,000	0,000	9,913	
be happiness 	0,000	0,000	0,000	2,776	0,000	8,327	0,000	
be happy     	0,000	0,000	0,000	1,475	0,000	9,343	0,000	
be heart     	0,000	0,000	2,405	0,000	0,000	0,000	0,000	
be help      	0,000	0,000	0,000	0,000	6,898	0,000	0,000	
be hero      	0,000	0,000	0,000	4,651	0,000	0,000	0,000	
be hilarious 	0,000	2,042	0,000	2,042	0,000	9,187	0,000	
be history   	2,094	0,000	0,000	0,000	0,000	0,000	0,000	
be hit       	0,000	0,000	0,000	0,000	0,000	0,000	2,705	
be holiday   	0,000	0,000	0,000	3,405	0,000	0,000	0,000	
