1	32,275,83,212,88,56,217,265,122,287
2	32,35,84,52,117,134,40,107,125,31
3	193,84,117,261,6,120,40,217,107,157
4	100,118,166,262,231,103,107,91,31,111
5	288,98,228,148,84,118,232,72,280,93
6	288,115,100,84,118,134,231,107,93,31
7	274,114,83,20,229,199,152,10,266,44
1,3	193,114,275,117,6,118,167,104,152,44
1,4	64,98,20,164,261,88,281,10,159,31
2,3	228,166,231,56,280,91,188,206,111,271
1,5	1,134,262,135,7,199,266,91,43,29
2,4	161,65,83,36,118,214,103,217,266,270
1,6	98,83,52,228,148,84,103,217,10,206
2,5	64,98,115,51,100,196,246,281,10,219
1,7	272,18,149,5,135,122,283,63,95,159
2,6	193,180,6,7,72,153,91,29,79,47
3,6	64,116,117,262,167,280,185,61,78,286
2,7	272,1,114,149,117,55,88,104,189,30
3,7	32,193,84,228,134,56,122,236,189,287
4,6	19,51,196,36,198,166,56,105,281,111
4,7	213,245,246,134,167,152,216,171,284,286
5,6	225,83,52,44,76,92,237,221,190,142
5,7	32,83,4,167,199,217,283,75,29,271
1,3,6	80,1,261,120,266,107,172,15,79,31
1,3,7	80,208,162,275,6,279,43,44,270,127
1,4,6	193,114,165,229,199,41,284,157,62,158
2,3,6	288,148,118,23,72,89,250,95,159,15
1,4,7	195,275,84,7,71,104,267,27,63,223
1,5,6	128,65,129,210,117,103,216,153,91,206
2,3,7	98,52,261,279,88,10,43,221,95,159
2,4,6	228,100,185,122,219,27,172,205,62,31
1,5,7	193,162,115,20,152,58,45,157,223,79
2,4,7	192,48,18,5,70,6,71,24,266,286
2,5,6	128,129,226,275,244,277,261,247,106,47
2,5,7	80,36,5,151,7,171,44,236,95,223
