1	32	739
1	272	606
1	274	121
1	261	2429
1	165	1921
1	88	1977
1	41	603
1	122	3157
1	203	77
1	287	690
2	288	732
2	129	1007
2	51	1094
2	244	99
2	118	2826
2	72	1329
2	153	378
2	93	365
2	142	596
2	47	537
3	193	1531
3	67	228
3	116	1261
3	84	3459
3	117	4157
3	119	274
3	40	375
3	120	737
3	280	357
3	157	1375
4	64	214
4	241	234
4	226	474
4	19	139
4	100	1242
4	118	3607
4	231	1218
4	91	887
4	237	556
4	31	778
1,3	273	415,855
1,3	210	1069,1110
1,3	162	1004,1535
1,3	116	762,1261
1,3	84	3619,3459
1,3	117	1373,4157
1,3	57	334,17
1,3	217	909,3004
1,3	265	230,1292
1,3	74	142,248
5	65	120
5	146	329
5	84	1081
5	148	2158
5	117	3002
5	7	819
5	232	247
5	72	1267
5	152	1738
5	58	1046
1,4	64	1212,214
1,4	161	222,1357
1,4	118	1531,3607
1,4	166	1985,1198
1,4	262	1514,97
1,4	198	326,605
1,4	103	1272,2976
1,4	91	3762,887
1,4	61	869,891
1,4	31	2109,778
2,3	177	258,99
2,3	115	1051,502
2,3	148	821,1692
2,3	117	5182,4157
2,3	6	46,328
2,3	22	300,449
2,3	280	880,357
2,3	89	118,369
2,3	206	685,512
2,3	111	1647,1242
6	288	732
6	242	364
6	51	1525
6	118	1915
6	263	32
6	72	180
6	280	880
6	153	1230
6	93	423
6	237	378
1,5	80	597,1261
1,5	81	601,871
1,5	275	2056,976
1,5	149	1427,2221
1,5	56	1208,2273
1,5	104	775,3235
1,5	44	1770,4132
1,5	284	291,225
1,5	63	123,1453
1,5	159	595,3277
2,4	256	71,93
2,4	64	56,214
2,4	226	7,474
2,4	19	1271,139
2,4	100	583,1242
2,4	118	2826,3607
2,4	214	1102,187
2,4	90	883,797
2,4	91	3301,887
2,4	237	32,556
7	33	957
7	20	1888
7	149	688
7	229	210
7	5	2618
7	278	401
7	266	1396
7	75	510
7	45	1922
7	223	863
1,6	288	535,732
1,6	129	1046,155
1,6	49	144,297
1,6	115	337,266
1,6	244	201,99
1,6	72	689,180
1,6	153	943,1230
1,6	142	619,596
1,6	47	665,537
1,6	271	494,396
2,5	288	732,612
2,5	115	1051,403
2,5	84	5437,1081
2,5	52	2148,1699
2,5	118	2826,1762
2,5	280	880,1135
2,5	232	223,247
2,5	72	1329,1267
2,5	93	365,1213
2,5	47	537,155
1,7	114	2320,4800
1,7	20	3144,1888
1,7	149	1427,688
1,7	278	124,401
1,7	10	6652,552
1,7	75	501,510
1,7	267	4,143
1,7	44	1770,4151
1,7	45	624,1922
1,7	270	1809,500
2,6	256	71,91
2,6	288	732,732
2,6	225	81,407
2,6	226	7,596
2,6	132	158,487
2,6	21	603,457
2,6	23	732,443
2,6	249	107,4
2,6	93	365,423
2,6	142	596,596
3,6	100	2259,2128
3,6	118	2418,1915
3,6	166	2214,1836
3,6	231	2777,1551
3,6	103	1865,3337
3,6	250	496,286
3,6	91	1824,1573
3,6	190	497,1183
3,6	238	333,247
3,6	31	1957,1224
2,7	259	375,310
2,7	275	2371,1203
2,7	20	891,1888
2,7	85	659,705
2,7	149	1770,688
2,7	71	650,1383
2,7	75	408,510
2,7	108	357,836
2,7	45	215,1922
2,7	63	959,1069
3,7	160	520,298
3,7	147	294,617
3,7	20	622,1888
3,7	85	1507,705
3,7	245	947,912
3,7	278	632,401
3,7	171	374,844
3,7	28	650,44
3,7	189	649,1624
3,7	207	67,330
4,6	256	93,91
4,6	241	234,86
4,6	226	474,596
4,6	115	2058,266
4,6	21	18,457
4,6	118	3607,1915
4,6	198	605,333
4,6	103	2976,3337
4,6	233	39,73
4,6	61	891,358
1,3,6	148	700,1692,821
1,3,6	52	412,1765,367
1,3,6	84	3619,3459,561
1,3,6	180	1276,583,1251
1,3,6	134	5037,731,1635
1,3,6	23	671,844,443
1,3,6	89	128,369,505
1,3,6	76	849,1284,1070
1,3,6	79	1868,1876,547
1,3,6	271	494,164,396
4,7	64	214,853
4,7	129	405,603
4,7	166	1198,494
4,7	262	97,38
4,7	246	2345,365
4,7	214	187,59
4,7	231	1218,1644
4,7	253	162,466
4,7	286	2701,1965
4,7	111	918,1270
5,6	64	1239,978
5,6	129	277,155
5,6	98	792,1191
5,6	51	406,1525
5,6	244	527,99
5,6	22	24,708
5,6	150	471,447
5,6	247	60,539
5,6	232	247,314
5,6	47	155,537
1,3,7	208	147,835,730
1,3,7	144	335,253,378
1,3,7	33	814,543,957
1,3,7	261	2429,2469,3253
1,3,7	117	1373,4157,1001
1,3,7	135	616,1576,734
1,3,7	152	1907,271,182
1,3,7	63	123,286,1069
1,3,7	159	595,199,2956
1,3,7	207	503,67,330
1,4,6	130	267,558,460
1,4,6	19	768,139,1177
1,4,6	100	1178,1242,2128
1,4,6	281	1254,1537,1145
1,4,6	185	1047,1891,1246
1,4,6	90	413,797,934
1,4,6	91	3762,887,1573
1,4,6	219	1705,350,825
1,4,6	107	1395,2290,1473
1,4,6	237	485,556,378
2,3,6	288	732,132,732
2,3,6	242	364,383,364
2,3,6	227	273,353,149
2,3,6	116	1194,1261,538
2,3,6	263	76,120,32
2,3,6	72	1329,1230,180
2,3,6	280	880,357,880
2,3,6	123	9,624,149
2,3,6	172	1247,1653,65
2,3,6	221	450,1430,931
