FILM	HA	LA	CO	BA	FR	GM	BM
158   	950	603	1018	560	283	55	1060	
159   	595	1407	199	2282	3277	193	2956	
160   	572	442	520	88	520	144	298	
161   	222	989	1931	1357	1684	1299	870	
162   	1004	654	1535	655	1257	964	1008	
163   	584	226	585	364	148	236	360	
164   	651	349	216	259	532	682	326	
165   	1921	2197	2237	1029	1569	948	2483	
166   	1985	2209	2214	1198	1430	1836	494	
167   	3278	2675	1782	232	110	1616	1282	
168   	251	239	266	558	136	239	395	
169   	391	49	49	337	392	272	32	
170   	17	58	4	16	4	149	168	
171   	1909	439	374	393	822	1121	844	
172   	1494	1247	1653	823	433	65	1421	
173   	85	289	111	220	239	223	312	
174   	411	60	263	379	370	60	397	
175   	152	140	148	193	152	140	222	
176   	389	117	216	886	1068	624	884	
177   	454	258	99	333	371	289	187	
178   	173	84	373	174	81	137	199	
179   	409	181	8	647	182	832	9	
180   	1276	1074	583	660	867	1251	538	
181   	1007	752	468	756	916	211	572	
182   	612	258	273	278	328	159	298	
183   	1442	51	1777	958	522	1780	1743	
184   	59	251	152	183	214	232	337	
185   	1047	1736	865	1891	156	1246	1947	
186   	861	1879	649	1152	461	1949	899	
187   	283	1	302	278	49	451	68	
188   	1320	2017	79	1688	2241	395	2195	
189   	1328	1329	649	1590	421	735	1624	
190   	1134	549	497	33	471	1183	770	
191   	147	126	235	130	137	126	185	
192   	784	1120	269	1214	943	1259	1085	
193   	2202	4441	1531	4727	2689	4213	330	
194   	1459	35	1340	129	750	475	139	
195   	1330	552	501	1082	159	872	1029	
196   	2423	3218	2724	3638	2515	195	1557	
197   	105	814	627	203	651	289	511	
198   	326	718	334	605	191	333	1030	
199   	1727	3078	710	3458	3236	1438	1961	
200   	28	41	1039	310	781	929	125	
201   	342	96	130	379	105	24	265	
202   	294	222	392	227	372	426	134	
203   	77	706	209	139	583	242	35	
204   	42	38	25	83	81	136	158	
205   	241	627	794	979	1692	434	753	
206   	315	685	512	252	1295	490	1641	
207   	503	398	67	600	92	674	330	
208   	147	211	835	441	682	318	730	
209   	93	81	50	100	30	104	151	
210   	1069	218	1110	657	1168	170	619	
211   	93	242	59	144	242	8	149	
212   	315	786	696	1238	1445	421	1172	
213   	772	1770	800	522	680	967	473	
214   	1159	1102	1	187	70	709	59	
215   	302	445	305	257	168	274	375	
216   	2007	1337	1401	2307	1936	1652	348	
217   	909	2866	3004	2993	998	4816	921	
218   	727	291	535	598	105	607	306	
219   	1705	664	1422	350	540	825	1098	
220   	483	742	888	334	223	774	37	
221   	1032	450	1430	26	910	931	1341	
222   	183	393	179	741	188	804	470	
223   	487	1873	382	1198	616	587	863	
224   	206	96	160	215	160	187	153	
225   	559	81	294	564	383	407	406	
226   	192	7	29	474	226	596	562	
227   	199	273	353	150	32	149	365	
228   	3952	3364	4267	1136	1809	3825	178	
229   	1919	2042	1078	1002	292	385	210	
230   	23	174	62	127	86	46	4	
231   	909	2612	2777	1218	2572	1551	1644	
232   	162	223	71	223	247	314	435	
233   	40	32	91	39	40	73	77	
234   	32	132	101	110	80	79	75	
235   	46	97	74	46	64	97	46	
236   	476	1494	1766	1271	2361	645	1997	
237   	485	32	279	556	313	378	219	
238   	366	133	333	314	78	247	366	
239   	978	96	671	974	316	818	763	
240   	13	74	40	22	54	50	79	
241   	94	229	347	234	259	86	264	
242   	294	364	383	189	302	364	364	
243   	293	58	102	133	261	102	102	
244   	201	99	521	196	527	99	80	
245   	92	204	947	1472	1312	559	912	
