FILM         	HA	LA	CO	BA	FR	GM	BM
Shaun of the Dead	0,0409	0,0672	0,0597	0,0414	0,0838	0,1544	0,0536	
Scarface     	0,0173	0,0100	0,0274	0,0174	0,0354	0,0219	0,0244	
The Return   	0,0750	0,0236	0,0711	0,0429	0,0573	0,0294	0,0543	
Platoon      	0,0477	0,0153	0,0481	0,0283	0,0621	0,0266	0,2047	
Being John Malkovich	0,0621	0,0385	0,0604	0,0411	0,0614	0,0731	0,0415	
Underground  	0,0452	0,0182	0,0506	0,0376	0,0518	0,0443	0,0421	
The African Queen	0,0363	0,0213	0,0725	0,0438	0,0494	0,0517	0,0374	
Almost Famous	0,0437	0,0274	0,0870	0,0480	0,0716	0,0640	0,0429	
Magnolia     	0,0691	0,0270	0,0711	0,0347	0,0652	0,0423	0,0490	
Gandhi       	0,0583	0,0209	0,0649	0,0361	0,0781	0,0308	0,0624	
Goldfinger   	0,0366	0,0228	0,0513	0,0351	0,0519	0,0435	0,0427	
Batman Begins	0,0584	0,0267	0,0576	0,0480	0,0654	0,0522	0,0735	
Lost in Translation	0,0654	0,0408	0,1166	0,0450	0,0991	0,0722	0,0520	
Hotel Rwanda 	0,0550	0,0209	0,0786	0,0396	0,0711	0,0319	0,0852	
A Night at the Opera	0,0310	0,0360	0,0446	0,0322	0,0469	0,0833	0,0267	
Spartacus    	0,0454	0,0183	0,0615	0,0383	0,0562	0,0345	0,0591	
The Prestige 	0,1041	0,0291	0,0525	0,0456	0,0527	0,0425	0,0483	
The Shop Around the Corner	0,0413	0,0249	0,1015	0,0535	0,0599	0,0693	0,0300	
Who Framed Roger Rabbit	0,0465	0,0299	0,0515	0,0965	0,0567	0,0765	0,0335	
The Incredibles	0,0490	0,0358	0,0635	0,1678	0,0681	0,0896	0,0446	
Dazed and Confused	0,0337	0,0339	0,0534	0,0403	0,0602	0,0708	0,0285	
Blazing Saddles	0,0310	0,0581	0,0438	0,0436	0,0661	0,1446	0,0312	
Day for Night	0,0386	0,0182	0,0501	0,0250	0,0445	0,0366	0,0323	
The Green Mile	0,0532	0,0242	0,0717	0,0441	0,0642	0,0435	0,0568	
Dial M for Murder	0,0656	0,0204	0,0474	0,0320	0,0386	0,0375	0,0425	
Dirty Harry  	0,0447	0,0188	0,0376	0,0299	0,0437	0,0339	0,0564	
Iron Man     	0,0461	0,0345	0,0538	0,0618	0,0614	0,0838	0,0473	
Casino       	0,0443	0,0223	0,0490	0,0319	0,0482	0,0339	0,0450	
A Christmas Story	0,0311	0,0354	0,0678	0,1259	0,0602	0,0961	0,0316	
Serpico      	0,0401	0,0211	0,0449	0,0263	0,0543	0,0297	0,0512	
Barton Fink  	0,0605	0,0251	0,0456	0,0305	0,0511	0,0451	0,0418	
Mary Poppins 	0,0337	0,0239	0,0708	0,1146	0,0556	0,0832	0,0293	
The Sixth Sense	0,0779	0,0275	0,0597	0,0420	0,0562	0,0442	0,0597	
My Fair Lady 	0,0350	0,0194	0,0724	0,0527	0,0477	0,0647	0,0282	
Ed Wood      	0,0426	0,0257	0,0649	0,0389	0,0661	0,0573	0,0393	
The Sound of Music	0,0348	0,0211	0,0855	0,0850	0,0536	0,0624	0,0342	
Enter the Dragon	0,0353	0,0189	0,0401	0,0366	0,0412	0,0446	0,0866	
