1	32,272,274,261,165,88,41,122,203,287
2	288,129,51,244,118,72,153,93,142,47
3	193,67,116,84,117,119,40,120,280,157
4	64,241,226,19,100,118,231,91,237,31
5	65,146,84,148,117,7,232,72,152,58
6	288,242,51,118,263,72,280,153,93,237
7	33,20,149,229,5,278,266,75,45,223
1,3	273,210,162,116,84,117,57,217,265,74
1,4	64,161,118,166,262,198,103,91,61,31
2,3	177,115,148,117,6,22,280,89,206,111
1,5	80,81,275,149,56,104,44,284,63,159
2,4	256,64,226,19,100,118,214,90,91,237
1,6	288,129,49,115,244,72,153,142,47,271
2,5	288,115,84,52,118,280,232,72,93,47
1,7	114,20,149,278,10,75,267,44,45,270
2,6	256,288,225,226,132,21,23,249,93,142
3,6	100,118,166,231,103,250,91,190,238,31
2,7	259,275,20,85,149,71,75,108,45,63
3,7	160,147,20,85,245,278,171,28,189,207
4,6	256,241,226,115,21,118,198,103,233,61
4,7	64,129,166,262,246,214,231,253,286,111
5,6	64,129,98,51,244,22,150,247,232,47
5,7	160,33,114,83,20,229,277,75,267,239
1,3,6	148,52,84,180,134,23,89,76,79,271
1,3,7	208,144,33,261,117,135,152,63,159,207
1,4,6	130,19,100,281,185,90,91,219,107,237
2,3,6	288,242,227,116,263,72,280,123,172,221
1,4,7	83,36,213,199,279,56,88,266,43,223
1,5,6	50,148,228,134,153,283,76,29,206,190
2,3,7	193,275,261,167,217,57,44,188,270,95
2,4,6	242,98,100,281,90,219,91,237,61,31
1,5,7	32,272,18,195,85,5,135,265,13,174
2,4,7	161,65,130,228,180,198,134,217,266,31
2,5,6	49,225,132,230,86,249,92,221,142,271
2,5,7	50,210,247,199,10,283,44,188,45,29
