FILM                    	HA	LA	CO	BA	FR	GM	BM
The Exorcist            	0.2644	0.3257	0.2686	0.2621	0.3847	0.3759	0.2836	
Shaun of the Dead       	0.2251	0.3244	0.2983	0.2733	0.2554	0.5766	0.2324	
Scarface                	0.0939	0.0376	0.1022	0.1440	0.2090	0.1782	0.2196	
The Return              	0.3104	0.2694	0.3081	0.2057	0.2453	0.2123	0.2433	
Platoon                 	0.2540	0.2640	0.2898	0.1982	0.2740	0.2482	0.3289	
Being John Malkovich    	0.2651	0.2948	0.3576	0.2814	0.2303	0.4735	0.2410	
Underground             	0.2317	0.1613	0.2452	0.2264	0.1710	0.2680	0.1432	
The African Queen       	0.2222	0.2538	0.3377	0.2564	0.2345	0.3725	0.1937	
Almost Famous           	0.3340	0.3150	0.3517	0.3185	0.3032	0.4657	0.2154	
Magnolia                	0.3786	0.2939	0.4025	0.2275	0.3004	0.3678	0.2804	
Gandhi                  	0.3575	0.3715	0.2890	0.2266	0.3399	0.3582	0.3444	
Goldfinger              	0.2178	0.3093	0.2362	0.2413	0.2279	0.3965	0.2040	
Batman Begins           	0.3659	0.3263	0.3314	0.3702	0.3185	0.4783	0.3925	
Lost in Translation     	0.4011	0.4229	0.5404	0.2968	0.3765	0.5238	0.2855	
Hotel Rwanda            	0.3284	0.3202	0.3576	0.2390	0.3517	0.2624	0.3211	
A Night at the Opera    	0.1430	0.2429	0.2435	0.1896	0.2208	0.4424	0.1351	
Spartacus               	0.2578	0.2835	0.2920	0.2410	0.2247	0.3034	0.2617	
The Prestige            	0.3787	0.3045	0.2750	0.5087	0.2679	0.3410	0.2953	
The Shop Around the Corner	0.1816	0.2772	0.4303	0.2547	0.1964	0.3718	0.1334	
Who Framed Roger Rabbit 	0.2084	0.2297	0.1923	0.4465	0.1930	0.4982	0.1482	
The Incredibles         	0.2966	0.2821	0.2620	0.5055	0.2619	0.5081	0.2453	
Dazed and Confused      	0.2672	0.2488	0.1884	0.3403	0.2574	0.4594	0.1427	
Blazing Saddles         	0.1855	0.3387	0.1511	0.2922	0.2414	0.6718	0.2809	
Day for Night           	0.2275	0.1620	0.2264	0.2211	0.1139	0.3110	0.1291	
The Green Mile          	0.3064	0.4267	0.3821	0.2957	0.3056	0.4024	0.2676	
Dial M for Murder       	0.2877	0.2659	0.2535	0.1985	0.1863	0.3065	0.1945	
Dirty Harry             	0.2530	0.2639	0.2236	0.2243	0.1784	0.3714	0.2974	
Iron Man                	0.2930	0.3254	0.2945	0.3481	0.2994	0.5220	0.2903	
Casino                  	0.2717	0.2943	0.2887	0.1881	0.2727	0.3330	0.3636	
A Christmas Story       	0.2377	0.3260	0.2466	0.4450	0.2546	0.6471	0.1996	
Serpico                 	0.2364	0.2098	0.2304	0.1701	0.2307	0.2522	0.2422	
Barton Fink             	0.2689	0.2625	0.1737	0.2005	0.2970	0.3223	0.1965	
Mary Poppins            	0.2301	0.2382	0.2238	0.4874	0.2980	0.4954	0.1928	
The Sixth Sense         	0.2921	0.3509	0.3736	0.2874	0.3313	0.3651	0.2954	
My Fair Lady            	0.2461	0.2353	0.2634	0.3327	0.2463	0.4145	0.1893	
Ed Wood                 	0.3117	0.2756	0.3123	0.2678	0.3043	0.4524	0.1884	
The Sound of Music      	0.2906	0.2980	0.2905	0.3808	0.2965	0.4631	0.2115	
Enter the Dragon        	0.2291	0.2847	0.2179	0.2090	0.1912	0.3467	0.2997	
Rain Man                	0.2643	0.2309	0.2668	0.2090	0.3099	0.3363	0.2147	
The Birds               	0.2514	0.2910	0.2984	0.2317	0.2325	0.3609	0.2465	
Edward Scissorhands     	0.2572	0.3289	0.3665	0.4193	0.2650	0.4233	0.2184	
Peeping Tom             	0.2116	0.2338	0.2439	0.1816	0.1701	0.2395	0.2363	
Eraserhead              	0.2901	0.2277	0.2716	0.2990	0.2332	0.3191	0.2254	
Gladiator               	0.3331	0.3779	0.3546	0.2596	0.2909	0.3852	0.3976	
Little Miss Sunshine    	0.2554	0.3060	0.2895	0.3775	0.2625	0.5955	0.2263	
True Romance            	0.2126	0.2783	0.4799	0.2323	0.2136	0.3911	0.3610	
Brokeback Mountain      	0.3526	0.4110	0.5179	0.2133	0.3721	0.3419	0.3119	
Shrek                   	0.2550	0.3057	0.2884	0.5836	0.2449	0.6242	0.2111	
The Piano               	0.2689	0.2268	0.4096	0.2118	0.2417	0.3069	0.2459	
Doctor Zhivago          	0.3600	0.2856	0.3875	0.2008	0.3094	0.3147	0.2781	
Malcolm X               	0.3444	0.2143	0.2990	0.1969	0.3009	0.2838	0.2673	
Donnie Darko            	0.3813	0.3177	0.3307	0.3223	0.3220	0.4111	0.2997	
Paper Moon              	0.2605	0.2498	0.2971	0.3059	0.1903	0.4593	0.1926	
Nine Queens             	0.2241	0.1264	0.2205	0.1798	0.1936	0.2819	0.0826	
Run Lola Run            	0.2951	0.3671	0.3565	0.2516	0.2423	0.4521	0.2310	
Quiz Show               	0.2768	0.2441	0.1881	0.1842	0.2102	0.2419	0.1514	
West Side Story         	0.2344	0.2697	0.3221	0.3313	0.2434	0.3593	0.2932	
American Graffiti       	0.2293	0.2347	0.2599	0.2904	0.2485	0.4581	0.1438	
Kung Fu Hustle          	0.2111	0.2827	0.1995	0.3046	0.2047	0.5129	0.2844	
Porco Rosso             	0.2345	0.2235	0.2710	0.3344	0.1781	0.3459	0.1768	
Midnight Express        	0.2059	0.1470	0.2330	0.1792	0.2355	0.2222	0.2572	
Midnight Run            	0.1891	0.2609	0.3120	0.2249	0.2255	0.4359	0.1930	
The Umbrellas of Cherbourg	0.2408	0.2318	0.3861	0.2819	0.1587	0.3435	0.1598	
Serenity                	0.3367	0.3367	0.3223	0.2860	0.3072	0.5047	0.2915	
Mystic River            	0.3609	0.3308	0.4040	0.2399	0.3051	0.3458	0.3454	
After Hours             	0.2206	0.2500	0.2065	0.1802	0.1874	0.3659	0.1650	
Apollo 13               	0.2904	0.2658	0.2745	0.2850	0.2912	0.3377	0.2617	
Dances with Wolves      	0.3183	0.3364	0.2831	0.2131	0.2851	0.3348	0.2544	
From Here to Eternity   	0.2145	0.1993	0.3100	0.1611	0.2505	0.2729	0.2354	
American Splendor       	0.2409	0.2444	0.2828	0.2289	0.2316	0.3632	0.1583	
Easy Rider              	0.2594	0.2790	0.2423	0.2122	0.3047	0.3437	0.2058	
Animal House            	0.1580	0.2960	0.1624	0.2499	0.2216	0.5388	0.1823	
East of Eden            	0.2853	0.1835	0.2609	0.1717	0.3100	0.2576	0.1847	
Dead Man Walking        	0.2633	0.2196	0.3386	0.1555	0.2246	0.2555	0.2109	
Kagemusha               	0.2705	0.1403	0.2136	0.2124	0.2810	0.2473	0.2627	
The Motorcycle Diaries  	0.3035	0.2125	0.3485	0.3021	0.3464	0.3378	0.2331	
Leaving Las Vegas       	0.2656	0.2336	0.3133	0.1674	0.2757	0.3061	0.2008	
Sideways                	0.3192	0.3256	0.3742	0.2552	0.3167	0.5318	0.2524	
The Thin Red Line       	0.3687	0.3268	0.3744	0.2119	0.2607	0.3427	0.3514	
Tootsie                 	0.2091	0.2792	0.2756	0.2573	0.2230	0.4579	0.2102	
From Russia with Love   	0.2957	0.2703	0.2401	0.2144	0.2314	0.3606	0.2778	
Capote                  	0.4439	0.2639	0.3615	0.2449	0.3982	0.3080	0.2645	
Kiss Kiss Bang Bang     	0.2645	0.2788	0.3731	0.2602	0.2158	0.5912	0.2108	
The Color Purple        	0.2647	0.2709	0.3324	0.2113	0.2511	0.3598	0.2444	
Misery                  	0.2732	0.2882	0.2397	0.1799	0.2385	0.3550	0.2382	
Bullitt                 	0.2833	0.2897	0.2881	0.1919	0.1985	0.3371	0.2348	
Walk the Line           	0.3744	0.3091	0.4097	0.2762	0.3637	0.3763	0.3002	
Empire of the Sun       	0.2992	0.2505	0.3412	0.3066	0.2903	0.3263	0.2449	
V for Vendetta          	0.3480	0.3240	0.3432	0.2804	0.2831	0.4000	0.3801	
