FILM	HA	LA	CO	BA	FR	GM	BM
159   	1340	1889	2332	1454	503	1685	533	
160   	553	213	303	539	803	770	64	
161   	227	844	957	1098	2328	1900	820	
162   	1585	1300	861	1155	637	465	930	
163   	161	593	355	570	305	502	153	
164   	300	349	756	221	280	47	460	
165   	488	990	2477	2018	2064	2658	898	
166   	1001	1680	1259	1316	1800	1543	1506	
167   	3432	853	1296	1544	1881	178	1985	
168   	12	636	213	155	219	341	211	
169   	89	339	393	337	366	201	108	
170   	128	151	66	35	38	110	45	
171   	879	1406	637	1869	1671	1073	128	
172   	351	1013	1560	81	488	886	599	
173   	246	107	191	278	73	264	149	
174   	432	437	253	392	288	60	314	
175   	23	49	113	198	170	32	134	
176   	29	791	964	1005	675	27	106	
177   	264	466	74	197	311	407	308	
178   	182	97	345	298	152	440	283	
179   	517	173	505	660	846	290	80	
180   	228	811	1191	195	797	162	718	
181   	624	1158	873	481	720	651	123	
182   	237	233	430	772	652	743	733	
183   	1006	90	937	409	620	1367	236	
184   	65	4	152	23	70	287	377	
185   	554	244	1564	170	1363	953	1087	
186   	652	141	1351	336	1266	1037	579	
187   	573	1	302	483	480	292	36	
188   	161	2286	1785	2127	265	20	1661	
189   	858	1127	1017	749	1555	643	1271	
190   	982	760	493	142	1237	296	483	
191   	141	182	129	236	38	238	110	
192   	576	384	1235	505	52	548	893	
193   	13	3840	2367	4727	481	1056	19	
194   	1780	908	1872	289	727	1431	1191	
195   	395	1368	1945	1956	1355	572	1035	
196   	54	574	325	1542	422	2550	3034	
197   	347	677	602	463	651	432	759	
198   	857	106	1103	643	245	286	307	
199   	333	214	3479	3376	2158	996	3214	
200   	570	706	499	878	8	717	326	
201   	341	308	28	15	140	125	373	
202   	40	368	377	343	132	606	323	
203   	777	1099	344	859	57	802	840	
204   	119	23	43	129	6	90	41	
205   	318	72	794	1419	1921	630	1770	
206   	101	204	897	1588	1626	392	1641	
207   	558	459	231	103	684	175	439	
208   	73	201	301	1011	979	886	386	
209   	71	61	144	100	102	104	151	
210   	247	488	536	710	462	207	194	
211   	93	189	129	196	12	272	1	
212   	1234	27	659	936	1516	864	923	
213   	613	1770	1279	407	1289	256	1235	
214   	938	273	545	667	1005	709	390	
215   	435	47	62	333	115	49	171	
216   	2455	2131	1582	2294	1119	749	1702	
217   	1999	4399	1751	328	4272	1011	306	
218   	459	239	709	430	646	332	243	
219   	990	2037	514	1118	583	217	1956	
220   	557	497	39	719	637	593	13	
221   	1032	395	497	1024	815	709	1163	
222   	514	28	443	162	825	533	435	
223   	2162	728	1321	138	1017	767	620	
224   	209	96	155	68	290	234	295	
225   	275	81	575	472	518	7	920	
226   	561	35	490	44	107	248	230	
227   	77	11	245	4	222	149	253	
228   	858	328	2308	418	1341	4024	1064	
229   	1803	1132	1419	729	115	1573	1096	
230   	99	85	112	100	69	62	143	
231   	1612	2591	192	2489	207	2466	1445	
232   	272	448	12	346	109	346	102	
233   	77	13	52	52	107	105	55	
234   	88	82	79	2	80	3	76	
235   	10	31	33	65	78	4	19	
236   	319	934	2195	258	2379	1581	1543	
237   	44	140	159	456	324	319	147	
238   	231	352	389	199	74	30	101	
239   	698	890	439	726	1068	310	936	
240   	13	74	93	12	95	99	79	
241   	164	230	67	403	308	398	28	
242   	4	335	308	137	266	204	216	
