1	32,80,84,88,122,152,162,194,265,275
2	7,13,31,52,70,84,95,114,117,184
3	6,40,67,84,116,117,193,206,210,280
4	31,64,88,90,91,100,103,118,166,262
5	7,32,65,71,84,117,152,157,174,277
6	47,51,72,93,100,115,118,153,244,288
7	4,14,43,44,83,114,199,245,266,267
1,3	7,20,120,135,149,157,188,208,217,273
1,4	10,36,83,107,111,164,196,214,228,281
1,5	9,18,44,58,63,81,85,146,210,287
1,6	27,79,83,84,91,98,106,134,148,283
1,7	10,14,20,33,117,159,229,261,270,279
2,3	80,89,104,125,148,162,167,217,270,275
2,4	56,88,98,111,115,118,228,231,284,288
2,5	20,29,36,43,81,83,171,188,223,261
2,6	1,10,44,93,129,142,219,221,225,228
2,7	5,30,32,63,81,85,99,135,149,172
3,6	15,22,23,76,84,166,172,190,271,280
3,7	1,28,44,58,95,116,119,171,207,265
4,6	31,61,90,103,196,226,237,242,281,286
4,7	91,122,127,160,167,180,216,217,246,253
5,6	17,29,52,107,122,148,206,217,231,247
5,7	6,7,14,37,56,75,104,134,275,283
1,3,6	43,56,114,125,153,165,167,180,195,262
1,3,7	33,121,152,157,159,183,186,193,194,212
1,4,6	19,64,65,92,95,118,123,185,198,266
1,4,7	2,88,158,165,195,223,267,270,271,284
1,5,6	31,35,41,45,70,162,193,199,216,246
1,5,7	5,114,120,121,135,138,176,182,212,278
2,3,6	40,79,111,134,159,160,177,199,245,288
2,3,7	10,20,27,35,55,188,189,210,229,236
2,4,6	4,47,51,62,72,100,150,161,206,214
2,4,7	24,71,84,93,157,159,195,199,245,287
2,5,6	25,64,91,95,98,100,196,210,279,280
2,5,7	1,4,27,33,36,39,45,183,266,272
