1	32,80,194,162,275,84,152,88,265,122
2	84,52,117,70,7,184,13,125,31,95
3	193,67,84,116,117,6,280,40,120,157
4	64,100,118,262,166,214,103,88,91,31
5	32,65,84,148,117,277,7,71,232,152
6	288,225,115,51,100,118,72,153,93,47
7	114,83,4,245,199,266,43,267,44,14
1,3	208,210,117,149,135,217,57,188,206,287
1,4	83,164,36,196,118,281,10,107,111,31
2,3	32,114,275,20,261,6,89,217,270,111
1,5	176,81,20,7,9,58,43,44,157,79
2,4	288,98,115,228,36,118,198,231,88,61
1,6	98,148,84,228,134,91,283,76,44,29
2,5	210,35,5,134,135,104,72,188,29,223
1,7	1,20,5,229,279,10,270,30,159,63
2,6	1,129,244,247,280,10,219,93,142,206
3,6	52,22,166,167,23,250,221,190,79,271
2,7	81,99,195,149,56,43,44,172,236,189
3,7	80,33,162,116,85,7,104,152,171,14
4,6	242,19,103,281,90,92,237,253,286,31
4,7	228,246,167,135,216,217,122,283,284,127
5,6	288,128,64,83,196,180,231,217,106,107
5,7	18,98,275,261,6,75,45,29,63,95
1,3,6	193,273,148,262,56,27,172,125,15,95
1,3,7	193,274,212,165,117,120,265,186,28,159
1,4,6	65,161,115,216,185,105,266,123,91,61
2,3,6	177,84,148,199,40,280,153,122,76,15
1,4,7	114,83,37,134,56,88,267,157,270,223
1,5,6	146,162,52,100,70,246,200,41,122,287
2,3,7	32,194,245,229,55,183,279,58,188,159
2,4,6	226,51,100,196,214,107,62,111,47,79
1,5,7	272,32,33,2,99,36,85,182,121,171
2,4,7	4,165,71,24,266,27,91,30,286,271
2,5,6	114,51,4,36,150,118,263,103,281,31
2,5,7	193,1,20,277,167,199,10,138,157,287
