FILM	256	1	4	261	5	6	262	263	7	266	10	15	271	272	18	19	275	20	276	21	22	278	23	280	24	281	27	283	284	29	286	31	287	288	32	35	36	40	44	45	47	48	49	51	52	55	56	61	62	64	65	67	71	72	75	76	78	79	82	83	84	85	86	89	90	91	92	93	95	98	100	103	104	105	107	108	110	111	114	115	116	117	118	120	122	123	127	129	132	134	138	140	142	148	149	150	153	156	157	159	160	161	165	166	167	171	172	185	189	190	193	195	196	198	199	205	206	214	216	217	219	221	223	225	226	227	228	229	230	231	232	236	237	241	242	244	246	247	249	
[2, 4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[18, 952, 46]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1270, 641, 1221]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[133, 95, 683]			0	0	0	0	0	[3203, 1095, 2740]			[984, 1580, 1081]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[738, 1947, 433]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1610, 358, 1893]			0	0	0	[586, 515, 242]			0	0	0	0	0	0	0	[238, 523, 279]			[190, 392, 185]			0	0	0	0	0	
[7]	0	0	0	0	[1190, 1551, 2521]			[2939, 2854, 3941]			0	0	0	0	0	0	0	0	0	0	0	[2275, 3719, 2691]			0	0	0	0	0	0	0	0	[37, 90, 392]			0	0	0	0	0	0	0	0	0	0	0	0	[1105, 1153, 1765]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[931, 373, 383]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1215, 2991, 3005]			0	0	0	0	0	0	0	0	0	0	0	0	[983, 678, 1576]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1961, 2209, 3214]			0	0	0	0	0	0	0	[2140, 1507, 53]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[1, 6]	0	0	0	0	0	0	0	0	0	[1328, 2365, 827]			[2958, 3926, 5842]			0	0	0	0	0	0	0	0	0	0	0	0	[822, 730, 1231]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[421, 718, 272]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1131, 1521, 694]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[11, 525, 1242]			0	0	0	0	0	[1763, 830, 731]			0	0	[712, 315, 189]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1446, 2743, 120]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1652, 1615, 1826]			0	0	0	0	0	0	0	0	0	
[2, 5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[86, 23, 760]			0	0	0	0	0	0	0	0	0	[1022, 1148, 752]			0	0	0	0	0	0	[680, 977, 1]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1526, 97, 709]			0	0	0	0	0	0	0	0	[482, 158, 145]			0	0	0	[14, 131, 290]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[958, 159, 778]			[515, 5, 586]			[211, 149, 329]			0	0	0	0	0	0	[530, 378, 298]			0	0	0	0	0	0	
[1, 7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2691, 3237, 4150]			0	0	0	0	0	0	0	0	0	0	0	0	[2, 431, 1958]			0	0	0	[280, 2349, 1962]			0	[1962, 1265, 848]			0	[3668, 4896, 4091]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1095, 620, 3471]			0	0	0	0	0	0	0	0	0	0	0	0	[1134, 366, 879]			0	0	0	0	0	0	0	0	0	0	0	0	0	[522, 714, 2104]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[315, 2425, 1279]			0	0	0	0	0	0	0	0	[1578, 201, 944]			0	0	
[2, 6]	0	0	0	0	0	0	0	[32, 290, 76]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[4245, 3980, 1157]			0	0	0	0	0	0	0	0	0	0	0	0	[5662, 2926, 3001]			0	0	0	0	0	[422, 674, 2396]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[437, 124, 413]			0	0	0	[144, 423, 661]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1096, 1099, 1434]			0	[358, 1893, 589]			0	0	0	0	0	0	0	0	0	0	0	0	0	[59, 29, 30]			0	0	0	[104, 3, 132]			
[3, 6]	0	0	0	0	0	0	[1242, 1536, 1752]			0	0	0	0	0	0	0	0	0	0	0	0	0	[131, 759, 282]			0	0	0	0	0	0	0	0	0	0	0	0	[1148, 894, 57]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2200, 549, 2211]			0	0	0	[499, 1250, 526]			0	0	0	0	0	0	0	0	0	0	0	0	0	[1597, 2908, 1206]			0	0	0	0	0	0	0	[717, 1133, 1131]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1745, 49, 1356]			0	[723, 692, 988]			0	0	0	[267, 781, 895]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[2, 7]	0	0	0	0	0	0	0	0	0	0	[4351, 2030, 5263]			[2156, 1131, 2558]			0	0	0	0	0	0	0	0	0	0	0	0	[2424, 1692, 15]			0	0	0	0	[21, 1257, 1629]			0	0	0	0	0	[2553, 3068, 2980]			0	0	0	0	0	0	0	0	0	[886, 958, 427]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[299, 937, 986]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3565, 986, 301]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[980, 1414, 1374]			0	0	0	[8, 5145, 4431]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[3, 7]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3060, 2846, 518]			0	0	0	0	0	0	[228, 80, 247]			0	0	0	0	0	0	0	0	0	0	0	[514, 312]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[750, 1462, 1424]			0	0	0	0	0	0	0	0	0	0	0	[1325, 29, 936]			0	0	0	0	0	0	[534, 374, 110]			0	0	[649, 483, 986]			0	0	0	0	0	0	0	[1307, 622, 668]			[732, 11, 641]			0	0	0	0	0	0	0	0	0	0	0	[1826, 2510, 1988]			0	0	0	0	0	0	0	0	0	
[4, 6]	[87, 134, 120]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[53, 1467, 1349]			0	0	0	0	0	0	0	0	0	[1674, 2227, 1537]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[149, 994, 856]			0	[1449, 1962, 4]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1519, 1384, 3561]			0	0	0	0	0	0	0	0	[1606, 3242, 2413]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[88, 1918, 1544]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[305, 279, 412]			[185, 141, 256]			0	0	0	0	0	
