1	32	3055,179,3050
1	80	2336,1174,1795
1	194	241,1511,712
1	162	1325,1466,1536
1	275	384,458,1414
1	84	5603,5426,2204
1	152	831,14,302
1	88	143,1309,1894
1	265	230,1604,998
1	122	3827,3052,1390
2	84	2465,1063,2066
2	52	586,2148,2151
2	117	907,5182,5305
2	70	79,845,481
2	7	494,3021,343
2	184	251,322,341
2	13	227,251,252
2	125	53,772,1014
2	31	1955,1189,2669
2	95	2574,8,1845
3	193	2631,634,837
3	67	448,169,340
3	84	4744,5489,3973
3	116	306,347,376
3	117	342,2253,1746
3	6	3347,2048,1987
3	280	1074,1299,809
3	40	808,906,1058
3	120	1378,1381,216
3	157	2566,2784,1516
4	64	1210,1214,1784
4	100	125,914,3237
4	118	2119,1958,1120
4	262	458,798,1355
4	166	2289,531,828
4	214	1027,762,667
4	103	839,169,1291
4	88	432,1087,736
4	91	3876,1920,2405
4	31	427,2254,2169
1,3	208	223,858,147
1,3	210	304,46,247
1,3	117	3512,5143,306
1,3	149	1777,1941,356
1,3	135	410,285,1868
1,3	217	956,2659,1376
1,3	57	76,272,469
1,3	188	1683,592,1785
1,3	206	1642,770,897
1,3	287	85,406,1897
5	32	1737,1407,866
5	65	538,152,231
5	84	466,1081,4882
5	148	1725,915,1736
5	117	2053,4062,5314
5	277	865,1473,713
5	7	2382,2544,3251
5	71	2188,2688,33
5	232	388,47,247
5	152	359,1918,77
1,4	83	3605,1892,5780
1,4	164	259,221,248
1,4	36	169,29,1136
1,4	196	741,1542,2160
1,4	118	2119,1958,1120
1,4	281	1729,1263,1254
1,4	10	4174,7136,1411
1,4	107	868,3026,1162
1,4	111	54,1674,1127
1,4	31	2245,11,427
2,3	32	1377,2542,1046
2,3	114	4957,3576,2440
2,3	275	2312,329,2670
2,3	20	1048,423,3574
2,3	261	845,1186,3120
2,3	6	3347,1854,2516
2,3	89	317,208,108
2,3	217	981,2866,956
2,3	270	388,1871,1697
2,3	111	1686,800,1732
6	288	797,523,605
6	225	82,318,48
6	115	37,2083,1586
6	51	1204,410,739
6	100	2857,961,1174
6	118	931,223,271
6	72	27,447,1896
6	153	5,507,887
6	93	1099,1478,1631
6	47	1189,60,67
1,5	176	507,676,29
1,5	81	601,1199,130
1,5	20	128,3144,2817
1,5	7	2047,2382,102
1,5	9	142,1335,531
1,5	58	1006,719,1152
1,5	43	3126,1736,635
1,5	44	1044,4062,460
1,5	157	2897,1325,1509
1,5	79	2029,2231,1664
2,4	288	668,1458,565
2,4	98	3162,695,4366
2,4	115	1667,698,1526
2,4	228	3246,2876,852
2,4	36	1762,2214,877
2,4	118	1886,2839,2119
2,4	198	203,596,1173
2,4	231	2226,1000,1871
2,4	88	432,1591,1639
2,4	61	244,695,1244
7	114	1329,613,1803
7	83	7056,5869,2729
7	4	1989,2330,1429
7	245	912,806,1039
7	199	3214,1365,1961
7	266	687,3624,125
7	43	651,3042,371
7	267	815,822,1475
7	44	1070,3513,4570
7	14	176,580,1019
1,6	98	2101,4208,1357
1,6	148	1758,908,845
1,6	84	5603,3227,634
1,6	228	2689,2223,2422
1,6	134	7012,1885,635
1,6	91	462,2270,2910
1,6	283	1945,2019,616
1,6	76	1458,1716,739
1,6	44	1044,4062,3799
1,6	29	1450,1598,1667
2,5	210	488,218,170
2,5	35	308,973,1264
2,5	5	110,199,1264
2,5	134	3803,259,2548
2,5	135	995,1174,1679
2,5	104	104,1120,2171
2,5	72	760,1615,824
2,5	188	1614,2017,2122
2,5	29	260,577,1277
2,5	223	1838,1879,1206
1,7	1	3357,3485,2692
1,7	20	1044,1958,128
1,7	5	349,1350,2409
1,7	229	1547,565,292
1,7	279	2695,1872,1262
1,7	10	1339,6421,4174
1,7	270	500,372,1844
1,7	30	1368,1344,1379
1,7	159	2836,3710,1209
1,7	63	1337,1069,1148
2,6	1	1013,2848,2931
2,6	129	1007,1075,181
2,6	244	99,15,58
2,6	247	445,191,577
2,6	280	148,669,895
2,6	10	454,2185,1924
2,6	219	217,2037,402
2,6	93	454,1099,88
2,6	142	602,765,39
2,6	206	548,652,1674
3,6	52	32,1536,518
3,6	22	708,602,252
3,6	166	1690,717,2225
3,6	167	626,2252,98
3,6	23	298,844,260
3,6	250	297,288,134
3,6	221	1080,1190,1264
3,6	190	43,1039,1069
3,6	79	272,2454,2581
3,6	271	864,1483,177
2,7	81	1583,593,1428
2,7	99	1382,766,844
2,7	195	1029,1368,1035
2,7	149	678,658,109
2,7	56	199,1194,5073
2,7	43	3367,651,1402
2,7	44	117,2849,273
2,7	172	24,1470,1013
2,7	236	1543,953,1220
2,7	189	203,1391,1223
3,7	80	1138,429,309
3,7	33	259,689,895
3,7	162	1318,483,806
3,7	116	511,310,577
3,7	85	827,490,705
3,7	7	1665,2202,2317
3,7	104	167,1502,1571
3,7	152	1070,859,21
3,7	171	846,2010,10
3,7	14	133,176,1104
4,6	242	75,141,230
4,6	19	645,496,1338
4,6	103	169,1592,680
4,6	281	276,1360,2273
4,6	90	138,295,837
4,6	92	392,655,823
4,6	237	380,456,279
4,6	253	349,121,298
4,6	286	1768,2701,2757
4,6	31	1673,2233,3053
1,3,6	193	2265,4628,2463
1,3,6	273	1040,131,1095
1,3,6	148	1645,717,1758
1,3,6	262	600,1157,451
1,3,6	56	1598,1762,5070
1,3,6	27	174,254,251
1,3,6	172	337,253,1637
1,3,6	125	1768,103,1105
1,3,6	15	1286,531,1537
1,3,6	95	1495,901,1888
4,7	228	224,2679,3532
4,7	246	1621,3790,771
4,7	167	2988,1282,2883
4,7	135	1484,1421,1720
4,7	216	348,1702,613
4,7	217	872,328,4530
4,7	122	2358,681,2936
4,7	283	1219,1799,76
4,7	284	410,711,1425
4,7	127	307,1740,25
5,6	288	732,523,797
5,6	128	501,968,190
5,6	64	772,292,373
5,6	83	4335,670,1805
5,6	196	862,1444,2043
5,6	180	98,1268,665
5,6	231	2020,72,1649
5,6	217	2899,963,4851
5,6	106	852,379,237
5,6	107	2831,2891,760
1,3,7	193	4628,2463,2631
1,3,7	274	568,297,173
1,3,7	212	1172,759,1257
1,3,7	165	488,1995,2437
1,3,7	117	3512,5143,306
1,3,7	120	1075,1253,1657
1,3,7	265	695,284,230
1,3,7	186	808,1389,579
1,3,7	28	78,587,650
1,3,7	159	2966,2836,1642
1,4,6	65	916,341,458
1,4,6	161	1900,37,1378
1,4,6	115	384,37,2083
1,4,6	216	1502,1956,2305
1,4,6	185	93,917,224
1,4,6	105	1298,1369,1173
1,4,6	266	2670,3495,3775
1,4,6	123	688,679,80
1,4,6	91	2270,462,2910
1,4,6	61	1244,695,351
2,3,6	177	489,271,289
2,3,6	84	5293,379,4637
2,3,6	148	908,2138,211
2,3,6	199	1456,2379,884
2,3,6	40	749,488,1291
2,3,6	280	296,1309,148
2,3,6	153	5,507,887
2,3,6	122	3591,2138,1062
2,3,6	76	1458,739,891
2,3,6	15	1825,913,755
5,7	18	1844,2222,1846
5,7	98	1257,1709,670
5,7	275	2970,2560,1123
5,7	261	1328,1524,1203
5,7	6	3617,3393,1868
5,7	75	283,1078,244
5,7	45	1078,1838,412
5,7	29	1022,1707,1673
5,7	63	1069,1567,221
5,7	95	1405,281,490
1,4,7	114	81,3517,251
1,4,7	83	3605,7056,1781
1,4,7	37	445,287,1029
1,4,7	134	4588,7012,2562
1,4,7	56	3069,4622,1397
1,4,7	88	1569,143,2458
1,4,7	267	815,742,822
1,4,7	157	22,1247,1474
1,4,7	270	500,372,198
1,4,7	223	1385,1311,1631
1,5,6	146	872,482,358
1,5,6	162	964,1216,1519
1,5,6	52	518,1207,1536
1,5,6	100	2857,961,1304
1,5,6	70	836,425,309
1,5,6	246	875,3158,961
1,5,6	200	717,570,144
1,5,6	41	382,1367,799
1,5,6	122	2973,2582,1861
1,5,6	287	1178,1414,690
2,3,7	32	1377,2542,917
2,3,7	194	153,2095,1872
2,3,7	245	912,806,856
2,3,7	229	1419,1547,2089
2,3,7	55	106,789,816
2,3,7	183	1778,90,1085
2,3,7	279	2695,763,2551
2,3,7	58	1466,315,819
2,3,7	188	1614,2017,2122
2,3,7	159	1642,3710,1791
2,4,6	226	394,44,60
2,4,6	51	799,410,739
2,4,6	100	961,2073,649
2,4,6	196	862,2550,141
2,4,6	214	434,889,692
2,4,6	107	3026,3974,2891
2,4,6	62	222,1540,1360
2,4,6	111	644,1060,342
2,4,6	47	1189,859,60
2,4,6	79	1953,2454,2581
1,5,7	272	514,721,868
1,5,7	32	3055,917,3164
1,5,7	33	259,1347,426
1,5,7	2	445,970,21
1,5,7	99	98,766,498
1,5,7	36	2456,2510,128
1,5,7	85	1152,1269,1528
1,5,7	182	733,25,9
1,5,7	121	568,131,884
1,5,7	171	405,1380,1952
2,4,7	4	873,1360,1989
2,4,7	165	1294,2237,2593
2,4,7	71	14,166,289
2,4,7	24	269,4,2486
2,4,7	266	2227,2810,3253
2,4,7	27	1705,2168,433
2,4,7	91	1920,3778,674
2,4,7	30	339,405,32
2,4,7	286	977,2701,2757
2,4,7	271	272,1600,1025
2,5,6	114	1013,3576,4458
2,5,6	51	799,907,1586
2,5,6	4	1117,1065,1075
2,5,6	36	1762,2214,203
2,5,6	150	211,209,242
2,5,6	118	223,3109,931
2,5,6	263	32,12,43
2,5,6	103	910,2876,89
2,5,6	281	721,574,203
2,5,6	31	1955,3059,1637
2,5,7	193	2725,3347,3969
2,5,7	1	2692,2873,2174
2,5,7	20	1048,1044,1958
2,5,7	277	1215,203,1271
2,5,7	167	538,1282,2080
2,5,7	199	1456,3214,1365
2,5,7	10	1924,2998,1251
2,5,7	138	435,1269,1554
2,5,7	157	969,2897,1740
2,5,7	287	1384,1068,1046
