FILM	HA	LA	CO	BA	FR	GM	BM
159   	2836	2294	2966	3659	2913	1543	3710	
160   	88	301	394	35	412	122	64	
161   	37	1148	254	1947	2328	1900	587	
162   	1325	999	1318	552	29	964	930	
163   	136	593	80	45	238	142	327	
164   	601	349	756	259	353	207	460	
165   	488	2593	187	680	1157	1535	1294	
166   	1985	1680	2124	2289	864	1690	494	
167   	2407	2080	520	1544	110	1115	1282	
168   	12	307	443	351	136	238	404	
169   	261	352	269	337	272	418	22	
170   	128	58	4	164	38	135	168	
171   	879	39	2010	1984	946	1121	1952	
172   	1160	24	1567	760	1162	337	1603	
173   	300	302	16	278	167	223	149	
174   	446	437	317	392	24	60	258	
175   	140	140	115	40	186	61	115	
176   	29	792	470	680	676	893	573	
177   	264	258	514	195	371	289	338	
178   	182	395	341	367	152	458	95	
179   	222	185	62	864	565	290	9	
180   	228	811	1002	546	300	98	286	
181   	934	1158	444	262	720	150	572	
182   	25	257	430	278	272	269	733	
183   	1442	90	1778	1137	1460	250	1085	
184   	65	251	152	266	70	18	306	
185   	1904	1353	493	1325	2036	224	1951	
186   	1430	1557	1351	1567	17	1281	579	
187   	377	1	302	592	181	110	36	
188   	592	1614	1785	2127	265	1097	1655	
189   	1126	203	483	41	803	939	1391	
190   	464	830	493	142	1019	1039	1118	
191   	147	182	235	236	6	130	24	
192   	270	592	269	505	578	548	893	
193   	4670	2725	2631	4727	3487	1529	3347	
194   	241	1484	1872	1390	1148	1481	153	
195   	1081	1368	1120	437	1210	426	1029	
196   	2313	2764	3389	741	2043	2550	3034	
197   	546	814	602	463	651	289	743	
198   	760	203	12	1173	155	132	739	
199   	1162	1456	2379	2040	1405	2751	3214	
200   	570	1096	653	878	64	717	638	
201   	335	308	86	200	56	24	300	
202   	591	368	273	655	372	459	149	
203   	777	238	88	139	175	600	35	
204   	127	1	8	171	6	12	48	
205   	356	645	569	292	1859	633	415	
206   	348	1107	897	830	1438	392	609	
207   	503	398	95	571	535	328	67	
208   	147	211	858	93	653	328	347	
209   	71	61	50	100	30	104	151	
210   	800	488	304	1114	1168	152	934	
211   	144	98	20	122	70	211	149	
212   	1257	27	552	1324	874	264	1172	
213   	1739	1770	1948	407	1911	392	21	
214   	938	692	704	1027	1005	904	178	
215   	435	192	62	218	168	274	171	
216   	186	1843	1150	1502	589	457	348	
217   	1376	981	956	872	4851	2899	4450	
218   	20	291	709	311	131	763	275	
219   	1231	2037	2050	1118	540	217	1956	
220   	2	807	78	334	14	634	684	
221   	1	795	1080	1662	1505	858	249	
222   	578	393	396	495	281	467	700	
223   	1385	1838	1424	138	1206	1942	2089	
224   	280	96	63	68	47	80	206	
225   	277	81	737	691	383	82	210	
226   	561	7	490	44	226	152	489	
227   	238	255	245	4	32	305	303	
228   	2689	3246	2028	79	1131	2223	224	
229   	915	2089	1419	2596	582	65	1547	
230   	83	85	127	127	101	76	84	
231   	1244	2226	2719	1000	319	2020	552	
232   	86	448	246	481	388	176	102	
233   	77	17	91	39	73	79	40	
234   	26	82	75	2	80	81	76	
235   	10	21	33	20	95	95	97	
236   	791	953	41	1927	1612	1262	1543	
237   	42	347	343	456	575	380	146	
238   	419	81	333	173	14	30	78	
239   	478	147	684	291	240	818	97	
240   	88	74	21	89	50	91	79	
241   	152	229	120	364	259	364	35	
242   	88	335	127	220	30	141	364	
243   	223	134	58	27	230	36	102	
244   	201	554	43	519	119	99	80	
245   	1257	744	856	685	768	312	912	
246   	3080	2590	2914	1621	875	2043	3790	
247   	642	609	642	391	202	699	700	
248   	65	90	132	39	18	135	300	
249   	20	104	47	46	148	4	39	
250   	163	572	39	167	128	288	272	
251   	188	240	91	382	20	72	147	
252   	152	213	70	156	48	75	28	
253   	518	598	671	298	357	287	679	
254   	514	542	222	51	162	70	210	
255   	287	111	59	218	235	237	120	
256   	83	119	11	11	107	123	117	
257   	273	35	85	111	32	94	336	
258   	275	192	55	166	184	159	295	
259   	358	674	195	50	677	634	119	
260   	15	76	40	53	76	80	1	
261   	541	845	1186	197	1328	1234	1524	
262   	330	1356	119	458	501	451	1438	
263   	161	291	25	120	119	12	1	
264   	250	416	551	24	383	305	325	
265   	230	469	695	648	1518	126	1404	
266   	3999	2227	3286	2239	2330	2670	687	
267   	742	604	1416	605	1453	1491	815	
268   	177	181	113	205	19	181	105	
269   	84	95	11	324	379	457	493	
270   	372	388	1697	2128	1322	2055	500	
271   	732	338	943	1025	1535	177	1600	
272   	514	108	954	995	851	167	552	
273   	415	394	859	1269	1013	1192	1135	
274   	121	117	297	1024	920	698	568	
275   	384	2670	329	2800	2970	1705	3088	
276   	478	97	65	450	515	79	379	
277   	1193	1215	1044	531	865	1120	203	
278   	317	1248	1282	1505	784	910	735	
279   	2366	2646	763	1234	1625	162	2695	
280   	164	1249	1074	231	844	148	1107	
281   	1263	336	1015	25	2201	721	1646	
282   	355	95	93	117	648	302	159	
283   	1945	1983	1722	1646	945	2019	1219	
284   	2057	1630	1203	1425	225	2080	410	
285   	897	443	695	358	395	346	730	
286   	587	977	2264	2701	2540	1768	623	
287   	1178	1384	903	720	363	1414	1068	
288   	30	1458	1579	1706	1231	797	972	
