L            	HA	LA	CO	BA	FR	GM	BM
be comedian  	0,000	0,000	0,000	0,000	0,000	3,752	0,000	
be comedy    	0,000	0,000	0,000	0,000	0,000	3,895	0,000	
be comic     	0,000	2,468	0,000	0,000	0,000	6,786	0,000	
be company   	0,000	0,000	0,000	0,000	9,042	0,000	0,000	
be complex   	7,280	0,000	0,000	0,000	0,000	0,000	0,000	
be concentrate	3,656	0,000	0,000	0,000	0,000	0,000	0,000	
be concerned 	0,000	0,000	0,000	0,000	7,161	0,000	0,000	
be confuse   	9,219	0,000	0,000	0,000	0,000	0,000	0,000	
be couple    	0,000	0,000	10,357	0,000	0,000	0,000	0,000	
be crazy     	0,000	0,000	0,000	0,000	0,000	4,263	0,000	
be creepy    	0,000	0,000	0,000	0,000	0,000	0,000	2,792	
be cruel     	0,000	0,000	0,000	0,000	0,000	0,000	10,851	
be cry       	0,000	0,000	0,000	0,000	4,823	0,000	2,412	
be curious   	0,000	0,000	0,000	2,876	0,000	0,000	0,000	
be cute      	0,000	0,000	7,720	1,782	0,000	0,000	0,000	
be dad       	0,000	0,000	0,000	1,991	0,000	0,000	0,000	
be dark      	0,000	0,000	0,000	0,000	0,000	0,000	6,876	
be dead      	0,000	0,000	0,000	0,000	0,000	0,000	2,857	
be deep      	7,539	0,000	10,052	0,000	0,000	0,000	0,000	
be delicate  	0,000	3,263	0,000	0,000	0,000	0,000	0,000	
be delight   	0,000	0,000	0,000	0,000	0,000	8,044	0,000	
be depressing	0,000	0,000	0,000	0,000	0,000	0,000	4,956	
be difficult 	10,647	0,000	0,000	0,000	0,000	0,000	0,000	
be direct    	0,000	6,511	0,000	0,000	0,000	0,000	0,000	
be dishonest 	0,000	0,000	0,000	0,000	0,000	0,000	4,349	
be distract  	0,000	9,913	0,000	0,000	0,000	0,000	0,000	
be disturbing	0,000	0,000	0,000	0,000	0,000	0,000	8,423	
be dramatic  	0,000	0,000	0,000	0,000	0,000	0,000	11,464	
be dream     	0,000	0,000	0,000	1,630	0,000	0,000	0,000	
be drunk     	0,000	0,000	0,000	0,000	0,000	0,000	4,956	
be easy      	0,000	5,971	0,000	0,000	0,000	0,000	0,000	
be educational	4,705	3,137	0,000	3,137	0,000	0,000	0,000	
be emotional 	0,000	0,000	10,141	0,000	0,000	0,000	0,000	
be encourage 	0,000	0,000	0,000	0,000	5,170	0,000	0,000	
be energy    	0,000	0,000	0,000	0,000	0,000	5,719	0,000	
be engage    	1,967	0,000	0,000	0,000	0,000	0,000	0,000	
be engaging  	5,820	0,000	0,000	0,000	0,000	0,000	0,000	
be enigmatic 	8,377	0,000	0,000	0,000	0,000	0,000	0,000	
be enjoy     	0,000	0,000	0,000	0,000	0,000	4,958	0,000	
be enjoyable 	0,000	5,146	0,000	0,000	0,000	0,000	0,000	
be entertaining	0,000	2,759	0,000	0,000	2,759	0,000	0,000	
be evil      	0,000	0,000	0,000	0,000	0,000	0,000	3,045	
be excite    	0,000	0,000	0,000	0,000	0,000	3,812	0,000	
be exciting  	0,000	0,000	0,000	0,000	0,000	6,802	0,000	
be exhaust   	5,425	0,000	0,000	0,000	0,000	0,000	0,000	
be express   	0,000	0,000	0,000	0,000	3,052	0,000	0,000	
be extraordinary	0,000	0,000	0,000	0,000	0,000	2,498	0,000	
be fabulous  	0,000	0,000	0,000	0,000	0,000	6,187	0,000	
be fairy     	0,000	0,000	0,000	5,572	0,000	0,000	0,000	
be faith     	0,000	0,000	0,000	0,000	8,875	0,000	0,000	
be faithful  	0,000	0,000	0,000	0,000	10,717	0,000	0,000	
be false     	0,000	0,000	0,000	0,000	0,000	0,000	8,674	
be family    	0,000	0,000	0,000	2,489	0,000	0,000	0,000	
be fantasy   	0,000	0,000	0,000	2,251	0,000	6,003	0,000	
be fascinating	0,000	0,000	8,873	0,000	0,000	2,218	0,000	
be fast      	0,000	2,709	0,000	0,000	0,000	0,000	0,000	
be fight     	0,000	0,000	0,000	0,000	0,000	0,000	7,967	
be focus     	8,286	0,000	0,000	0,000	0,000	0,000	0,000	
be forgive   	0,000	0,000	0,000	0,000	4,823	0,000	0,000	
be friend    	0,000	0,000	0,000	0,000	8,261	0,000	0,000	
be friendship	0,000	0,000	0,000	0,000	7,842	0,000	0,000	
be fun       	0,000	5,440	0,000	0,000	4,533	4,261	0,000	
be funny     	0,000	4,289	0,000	1,287	5,147	3,603	0,000	
be generous  	0,000	0,000	0,000	0,000	9,493	0,000	0,000	
be gentle    	0,000	6,808	0,000	0,000	0,000	0,000	0,000	
be girlfriend	0,000	0,000	3,494	0,000	0,000	0,000	0,000	
be grace     	0,000	0,000	0,000	0,000	0,000	5,634	0,000	
be graphic   	0,000	0,000	0,000	5,584	0,000	0,000	0,000	
