FILM	HA	LA	CO	BA	FR	GM	BM
158   	595	463	1018	560	283	55	1060	
159   	595	1407	199	2282	3277	193	2956	
160   	572	442	120	88	398	280	85	
161   	159	989	1931	1357	337	1299	870	
162   	698	654	1535	655	1257	964	1008	
163   	584	136	585	474	186	67	360	
164   	651	349	216	222	93	682	602	
165   	1921	2197	459	1029	280	948	2483	
166   	2417	1780	1052	1198	1586	1836	494	
167   	3278	2322	1782	232	110	1616	1282	
168   	251	239	443	558	136	239	425	
169   	122	49	49	161	177	272	32	
170   	4	94	4	164	159	135	168	
171   	1909	439	374	393	1664	1121	1330	
172   	1494	1279	214	823	433	65	1421	
173   	85	289	278	90	239	223	231	
174   	186	60	263	379	448	60	397	
175   	222	140	61	140	152	140	222	
176   	389	117	216	886	1068	847	844	
177   	454	258	99	333	371	212	227	
178   	395	395	373	174	360	139	441	
179   	409	243	8	647	182	832	302	
180   	1276	487	354	949	300	1251	538	
181   	1007	752	1127	372	312	211	572	
182   	733	258	273	278	328	159	298	
183   	1059	51	1777	958	522	1780	8	
184   	59	251	54	232	190	232	337	
185   	1047	1736	865	1891	156	1246	1604	
186   	861	1879	34	1152	684	1949	899	
187   	283	1	331	110	49	451	68	
188   	1665	2017	79	1688	171	395	1468	
189   	1328	1329	649	223	920	735	60	
190   	111	549	957	33	471	744	1061	
191   	147	126	223	126	137	126	24	
192   	270	1120	428	1214	943	1259	28	
193   	2202	4441	486	892	2689	4213	2340	
194   	1459	35	2100	129	750	475	869	
195   	630	1652	501	1870	159	872	1029	
196   	2423	3218	1440	3638	311	786	229	
197   	775	814	627	203	524	289	511	
198   	326	718	334	605	191	333	739	
199   	1806	3078	710	3458	3236	1438	1961	
200   	28	41	1039	918	1197	929	1080	
201   	342	96	270	379	81	24	201	
202   	294	36	392	629	337	426	134	
203   	77	706	761	139	583	102	128	
204   	8	38	25	101	81	118	158	
205   	241	627	569	979	1692	434	1025	
206   	1502	699	512	252	1295	490	379	
207   	503	387	324	191	92	674	55	
208   	878	211	296	441	682	21	921	
209   	162	81	71	100	30	104	151	
210   	1037	218	792	657	1168	170	619	
211   	89	98	216	234	242	8	210	
212   	1432	786	211	1411	1445	421	1172	
213   	772	1770	800	522	252	967	1266	
214   	1156	732	1	187	70	709	114	
215   	302	339	305	445	4	274	171	
216   	2007	1568	1401	2307	1936	1652	2504	
217   	909	2866	3004	2993	322	4816	468	
218   	620	291	204	553	104	607	306	
219   	247	664	1422	350	1501	1857	163	
220   	483	742	888	185	466	774	37	
221   	632	450	1430	26	910	450	249	
222   	183	393	155	482	188	467	470	
223   	487	1873	382	1198	616	587	863	
224   	208	96	117	37	74	187	153	
225   	191	81	444	114	383	254	406	
226   	5	7	29	474	226	446	562	
227   	199	273	43	150	329	149	303	
228   	3952	3364	4267	1136	1608	3825	178	
229   	1919	2042	1078	1002	292	385	210	
230   	105	55	127	127	46	46	6	
231   	1211	2612	2777	1218	2572	1195	1644	
232   	162	223	71	223	545	314	98	
233   	91	40	91	39	40	40	46	
234   	30	76	75	76	79	79	102	
235   	95	54	20	46	54	54	46	
236   	1383	1494	1766	307	2361	645	1997	
237   	401	32	279	556	452	378	219	
238   	366	133	333	173	156	247	366	
239   	978	96	671	974	316	818	763	
240   	13	79	40	22	50	50	79	
241   	117	229	89	234	35	86	255	
242   	294	364	383	199	302	364	100	
243   	157	47	27	133	45	105	28	
244   	195	99	521	196	527	99	75	
245   	92	204	947	21	704	559	912	
246   	2256	314	3683	2345	1720	421	365	
247   	701	609	16	391	390	539	781	
248   	267	90	146	178	4	4	300	
249   	143	68	46	83	72	47	105	
250   	163	128	496	219	128	286	134	
251   	188	173	316	426	377	360	147	
252   	152	213	28	150	82	146	82	
253   	494	151	710	137	231	284	466	
254   	15	338	200	499	266	559	494	
255   	217	356	347	250	356	356	367	
256   	14	3	11	93	91	91	76	
257   	337	56	284	6	119	130	53	
258   	270	140	241	140	270	159	295	
259   	406	674	634	677	220	220	310	
260   	73	102	87	58	76	76	12	
261   	2429	751	1614	1525	2166	1326	3253	
262   	1514	643	1169	97	975	1524	764	
263   	161	76	120	237	32	32	161	
264   	40	289	110	236	383	590	376	
265   	230	1450	1292	1421	19	478	1600	
266   	3665	519	1802	2391	2643	701	1396	
267   	980	526	272	1122	198	361	1466	
268   	317	68	270	89	170	181	275	
269   	84	24	479	299	83	171	461	
270   	1809	188	1627	575	525	106	1581	
271   	494	1217	404	1025	1214	396	959	
272   	348	108	322	1646	851	1429	751	
273   	415	259	855	760	206	1095	103	
274   	121	563	891	752	16	16	539	
275   	2056	2371	1835	1873	976	185	1203	
276   	202	395	356	450	110	97	379	
277   	800	800	1075	802	1360	1273	618	
278   	1191	910	632	988	833	910	401	
279   	1953	212	1813	413	981	212	1926	
280   	1318	880	357	323	896	151	682	
281   	1985	2276	1722	1537	520	1145	2544	
282   	355	166	515	549	343	119	416	
283   	359	71	1196	720	1660	1340	71	
284   	1692	1814	952	1817	64	2080	433	
285   	843	121	30	288	87	87	264	
286   	1568	2802	1965	1232	578	2838	2741	
287   	690	1384	519	14	640	53	806	
288   	1642	739	132	1503	612	732	374	
