FILM	1	4	261	5	6	262	263	7	265	10	266	267	11	15	271	272	18	275	19	20	21	278	279	23	280	24	281	27	283	284	29	286	30	31	287	288	32	35	36	40	43	44	45	47	48	50	51	52	55	56	61	62	63	64	65	71	72	76	78	79	80	82	83	84	88	90	91	92	93	95	98	100	103	104	105	106	107	108	110	111	114	115	116	117	118	120	122	123	125	127	128	129	132	134	138	142	148	149	150	151	153	154	156	157	158	159	161	165	166	167	171	172	185	188	189	190	193	195	196	198	199	200	205	206	212	213	214	216	217	219	221	223	225	226	228	229	231	232	236	237	242	244	246	247	
[2, 4]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2413, 2293, 86]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1116, 1006, 733]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3075, 195, 1128]			0	0	0	0	0	0	0	0	0	[3292, 3193, 3144]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[980, 1232, 72]			0	0	0	0	[1099, 1096]			[2993, 1083, 342]			[1610, 1075, 1118]			0	0	0	0	[2010, 136, 631]			0	0	0	0	0	0	0	[2345, 316, 1708]			0	
[7]	0	0	0	0	0	0	0	0	0	[6505, 1483, 7132]			0	0	0	0	0	0	0	0	0	[2081, 3389]			0	0	0	0	0	0	0	[37, 90, 1191]			0	0	0	0	0	0	0	0	[1962, 146, 36]			0	0	0	0	[2840, 692, 2519]			0	0	0	0	0	0	0	[2334, 296, 3093]			0	0	0	0	0	0	0	0	0	0	0	[868, 637, 1392]			[756, 80, 2170]			0	0	0	0	0	0	0	0	0	0	[1572, 3099, 3332]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[210, 551, 1000]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[1, 6]	[1399, 1567, 782]			0	0	0	0	0	0	0	0	0	[4036, 1629, 3195]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2413, 225, 34]			0	0	0	0	0	[269, 483, 1401]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1080, 1285, 854]			0	0	0	0	0	0	0	0	0	[4095, 4979, 1490]			0	0	0	0	0	0	0	0	[283, 2029, 2501]			0	[490, 841, 539]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[135, 152, 667]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3652, 4189, 4046]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[2, 5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[23, 1, 762]			0	0	0	0	0	0	[770, 706, 589]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[88, 19, 2606]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[155, 231, 1222]			0	[5660, 1460, 74]			0	0	0	0	[144, 121, 263]			0	[6, 316, 858]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[958, 192, 380]			0	0	0	0	0	0	0	0	[251, 102, 295]			0	[303, 445, 253]			
[1, 7]	0	[1035, 2362, 1384]			[53, 2729, 1635]			0	0	0	0	0	0	0	0	0	0	0	0	0	[945, 1014, 1532]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1313, 1516, 689]			0	0	0	0	0	0	0	0	0	0	0	0	[664, 1362, 1211]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[539, 56]			0	0	[245, 138, 1594]			0	0	0	0	[2260, 264, 753]			0	0	0	0	0	0	0	0	0	0	0	0	[1715, 1231, 849]			0	0	0	0	0	0	0	0	0	0	[2080, 1385, 662]			0	0	0	0	0	0	0	0	0	0	0	0	
[2, 6]	0	0	0	0	0	0	[155]			0	0	[3737, 4351, 3233]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[86, 23, 896]			0	[1536, 2238, 1663]			0	0	0	[1455, 21, 1629]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1624, 2514, 1194]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3075, 1319, 1106]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[650, 2143, 374]			0	0	0	[6, 858, 484]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[279, 1019, 756]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[3, 6]	0	0	0	0	[2298, 1129, 681]			[1277, 661, 58]			0	[934, 757, 3504]			0	0	0	0	0	0	0	0	0	0	[275, 610, 42]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1613, 1260, 843]			0	0	0	0	0	0	0	0	0	[160, 535, 149]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[261, 389, 948]			[3129, 3276, 88]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[342, 232, 1685]			0	0	0	0	0	0	0	[1826, 1307, 939]			0	0	0	0	0	0	0	
[2, 7]	[3049, 36, 3371]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2916, 2937, 1612]			0	0	0	0	0	0	[142, 586, 1777]			[1631, 886, 543]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1845, 1081, 2250]			0	0	[3546]			0	0	0	0	[3203]			0	0	0	[1057, 680, 852]			0	0	0	0	0	0	0	0	0	0	[3742, 2773, 1095]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1050, 284, 2554]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[3, 7]	0	0	0	0	0	0	0	0	0	0	[455, 514, 3030]			[915, 272, 1379]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1017, 483, 2030]			0	0	[1272, 1719, 1428]			0	0	0	0	[37, 51, 154]			0	0	0	0	0	0	0	0	0	0	0	0	[377, 659, 96]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[512, 2499, 26]			0	0	0	0	0	0	0	0	0	0	0	0	0	[4108, 60, 3848]			0	0	0	0	0	0	0	0	0	0	0	0	0	[356, 332, 1363]			0	0	0	0	0	0	0	0	0	0	0	0	[982, 190, 606]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[4, 6]	0	[1035, 2987, 1117]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2196, 2645, 1777]			0	0	0	0	0	0	[311, 973, 298]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[901]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[4101, 1769, 1377]			0	0	0	0	0	0	0	0	0	0	0	0	[1644, 1947, 332]			0	0	0	0	[295, 438, 614]			[788, 266, 64]			0	0	0	0	0	[833, 984, 140]			[1203, 1133, 908]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
