FILM         	HA	LA	CO	BA	FR	GM	BM
Shaun of the Dead	0,0250	0,1069	0,0549	0,0378	0,0820	0,1790	0,0500	
Scarface     	0,0107	0,0154	0,0221	0,0137	0,0536	0,0284	0,0125	
The Return   	0,0380	0,0312	0,0486	0,0321	0,0306	0,0291	0,0311	
Platoon      	0,0237	0,0188	0,0360	0,0184	0,0598	0,0268	0,2635	
Being John Malkovich	0,0343	0,0637	0,0412	0,0288	0,0519	0,0913	0,0322	
Underground  	0,0141	0,0252	0,0388	0,0278	0,0416	0,0397	0,0286	
The African Queen	0,0220	0,0270	0,0696	0,0344	0,0359	0,0586	0,0265	
Almost Famous	0,0235	0,0339	0,0771	0,0343	0,0536	0,0727	0,0320	
Magnolia     	0,0387	0,0345	0,0482	0,0219	0,0494	0,0415	0,0327	
Gandhi       	0,0243	0,0211	0,0505	0,0236	0,0365	0,0259	0,0362	
Goldfinger   	0,0193	0,0286	0,0338	0,0223	0,0428	0,0472	0,0329	
Batman Begins	0,0312	0,0315	0,0422	0,0318	0,0491	0,0546	0,0550	
Lost in Translation	0,0313	0,0535	0,0766	0,0293	0,0631	0,0784	0,0360	
Hotel Rwanda 	0,0270	0,0247	0,0707	0,0278	0,0451	0,0272	0,0463	
A Night at the Opera	0,0180	0,0428	0,0367	0,0217	0,0343	0,0797	0,0221	
Spartacus    	0,0194	0,0227	0,0506	0,0261	0,0365	0,0330	0,0336	
The Prestige 	0,0954	0,0389	0,0419	0,0294	0,0425	0,0444	0,0346	
The Shop Around the Corner	0,0232	0,0330	0,0916	0,0486	0,0459	0,0603	0,0219	
Who Framed Roger Rabbit	0,0332	0,0411	0,0471	0,0830	0,0428	0,0910	0,0266	
The Incredibles	0,0355	0,0517	0,0495	0,2033	0,0575	0,1064	0,0338	
Dazed and Confused	0,0171	0,0523	0,0509	0,0283	0,0706	0,0941	0,0227	
Blazing Saddles	0,0189	0,0884	0,0431	0,0455	0,0609	0,1622	0,0272	
Day for Night	0,0192	0,0217	0,0224	0,0141	0,0262	0,0290	0,0229	
The Green Mile	0,0314	0,0262	0,0580	0,0266	0,0411	0,0385	0,0339	
Dial M for Murder	0,0429	0,0223	0,0279	0,0204	0,0267	0,0414	0,0243	
Dirty Harry  	0,0201	0,0245	0,0228	0,0228	0,0364	0,0360	0,0313	
Iron Man     	0,0283	0,0441	0,0410	0,0550	0,0511	0,0989	0,0334	
Casino       	0,0278	0,0306	0,0397	0,0242	0,0413	0,0334	0,0302	
A Christmas Story	0,0188	0,0548	0,0650	0,1618	0,0527	0,1156	0,0245	
Serpico      	0,0191	0,0250	0,0320	0,0188	0,0494	0,0321	0,0281	
Barton Fink  	0,0393	0,0359	0,0312	0,0191	0,0350	0,0500	0,0302	
Mary Poppins 	0,0240	0,0295	0,0697	0,1185	0,0431	0,0971	0,0222	
The Sixth Sense	0,0570	0,0304	0,0446	0,0334	0,0392	0,0461	0,0521	
My Fair Lady 	0,0165	0,0257	0,0598	0,0439	0,0356	0,0612	0,0207	
Ed Wood      	0,0208	0,0385	0,0502	0,0293	0,0384	0,0589	0,0283	
The Sound of Music	0,0207	0,0234	0,0872	0,0922	0,0409	0,0580	0,0247	
Enter the Dragon	0,0194	0,0246	0,0258	0,0204	0,0344	0,0513	0,1232	
Rain Man     	0,0230	0,0364	0,0582	0,0403	0,0373	0,0512	0,0234	
The Birds    	0,0248	0,0342	0,0419	0,0297	0,0393	0,0603	0,0424	
Edward Scissorhands	0,0207	0,0348	0,0861	0,0635	0,0421	0,0539	0,0306	
Peeping Tom  	0,0204	0,0296	0,0243	0,0199	0,0260	0,0252	0,0400	
Eraserhead   	0,0230	0,0337	0,0284	0,0230	0,0443	0,0400	0,0353	
Gladiator    	0,0340	0,0305	0,0486	0,0295	0,0458	0,0404	0,0572	
Little Miss Sunshine	0,0302	0,0720	0,0613	0,0726	0,0581	0,1169	0,0314	
True Romance 	0,0228	0,0308	0,2680	0,0241	0,0476	0,0608	0,0333	
Brokeback Mountain	0,0333	0,0359	0,1661	0,0268	0,0633	0,0351	0,0392	
Shrek        	0,0301	0,0789	0,0608	0,1991	0,0612	0,1488	0,0310	
The Piano    	0,0209	0,0183	0,0736	0,0209	0,0339	0,0313	0,0310	
Doctor Zhivago	0,0207	0,0233	0,1125	0,0245	0,0323	0,0324	0,0276	
Malcolm X    	0,0302	0,0277	0,0401	0,0215	0,0479	0,0281	0,0296	
Donnie Darko 	0,0502	0,0358	0,0451	0,0371	0,0526	0,0575	0,0393	
Paper Moon   	0,0240	0,0448	0,0474	0,0602	0,0378	0,0919	0,0201	
Nine Queens  	0,0582	0,0226	0,0224	0,0173	0,0212	0,0457	0,0206	
Run Lola Run 	0,0405	0,0598	0,0463	0,0267	0,0468	0,0669	0,0295	
Quiz Show    	0,0210	0,0178	0,0241	0,0168	0,0279	0,0258	0,0232	
West Side Story	0,0193	0,0188	0,0865	0,0339	0,0500	0,0406	0,0302	
American Graffiti	0,0182	0,0333	0,0410	0,0382	0,0497	0,0925	0,0263	
